A.bg content.tsv
Level	Esperanto	bg	en-us	Grupo	Alternativoj	Pronoco
level	vidis nek instruiston nek gelernantojn	не видя нито учител, нито ученици	saw neither a teacher nor students	grupo	alternativoj	prononco
level	sidi, eksidi	да седна, да се настаня	to sit, to get sitted	grupo	alternativoj	prononco
level	eksidis	седнах (седях)	got seated (had seated)	grupo	alternativoj	prononco
level	li eksidis	той седна	he got seated	grupo	alternativoj	prononco
level	kaj pensis	и помисли	and thought	grupo	alternativoj	prononco
level	kio okazis?	какво стана	what did happen?	grupo	alternativoj	prononco
level	diable	до ужас (като дявол)	to the awful (like a devil)	grupo	alternativoj	prononco
level	damne	язовира го	dam it	grupo	alternativoj	prononco
level	memoras	помни	remembers	grupo	alternativoj	prononco
level	nun mi memoras	сега се сещам	now I remember	grupo	alternativoj	prononco
level	dimanĉo	неделя	Sunday	grupo	alternativoj	prononco
level	hodiaŭ estas ~	днес е ~	today is ~	grupo	alternativoj	prononco
level	hodiaŭ estas dimanĉo	днес е неделя	today is Sunday	grupo	alternativoj	prononco
level	dormi kaj ekdormi	да спя и да заспя	to sleep and to get into sleep	grupo	alternativoj	prononco
level	suno kaj luno	слънце и луна	a sun and a moon	grupo	alternativoj	prononco
level	subita kaj subite	внезапно и внезапно	sudden and suddenly	grupo	alternativoj	prononco
level	ek!	изключено! (да започна)	off! (to start)	grupo	alternativoj	prononco
level	salti kaj eksaltis	да скочи и скочи	to jump and jumped 	grupo	alternativoj	prononco
level	ĉiam frua	винаги рано	always early	grupo	alternativoj	prononco
level	hodiaŭ metis kaj kuris	днес сложих и пуснах	today put and ran	grupo	alternativoj	prononco
level	aĵo, ne aĝo	нещо, което не е възраст	a thing not age	grupo	alternativoj	prononco
level	kuris laŭ homoj saĝaj	тичаше заедно с мъдри хора	ran along wise people	grupo	alternativoj	prononco
level	laŭeble baldaŭ	възможно най-скоро	soon as possible	grupo	alternativoj	prononco
level	kia knabo, kia knabino	какво момче, какво момиче	what a boy, what a girl	grupo	alternativoj	prononco
level	nek pensita nek memorita	нито мислено, нито запомнено	neither thought nor memorized	grupo	alternativoj	prononco
level	diablo atendis akvon dimanĉe	дявол чака вода в неделя	a devil waited for water on Sunday	grupo	alternativoj	prononco
level	tiom malgranda momento	такъв малък момент	such a small moment	grupo	alternativoj	prononco
level	eĉ tiom malgranda momento valoras	дори такъв малък момент си струва	even such a small moment is worthwhile	grupo	alternativoj	prononco
level	kriis for ĝis nokto	плака до нощта	cried away until night	grupo	alternativoj	prononco
level	lasis la poŝton de la mano	махнете пощенския стълб от ръката	put away the mailpost from the hand	grupo	alternativoj	prononco
level	ridis mem lasante la poŝton	се засмя сам, прибирайки пощенския стълб	laughed by oneself, putting away the mailpost	grupo	alternativoj	prononco
level	nek li nek ŝi ridis	нито той, нито тя се засмяха	neither he nor she laughed	grupo	alternativoj	prononco
level	ŝi nek ridis nek respondis	тя нито се засмя, нито отговори	she neither laughed nor answered	grupo	alternativoj	prononco
level	li nek sidas nek rigardas	нито седи, нито гледа	he neither sits nor watches	grupo	alternativoj	prononco
level	neniam mi vidis	никога не съм виждал	I have never seen	grupo	alternativoj	prononco
level	mi neniam diros al iu	Никога няма да кажа на никого	I will never tell anyone	grupo	alternativoj	prononco
level	diru al neniu	не казвай на никого	tell no one	grupo	alternativoj	prononco
level	mi neniam diros	Никога няма да кажа	I will never say	grupo	alternativoj	prononco
level	mem	на себе си (от себе си)	to oneself (by oneself)	grupo	alternativoj	prononco
level	mi mem faris	Направих го сам	I did it myself	grupo	alternativoj	prononco
level	faris tion	направи го (направи го)	did it (made it)	grupo	alternativoj	prononco
level	mem faris tion	направи го сам (направи го сам)	did it oneself (made it oneself)	grupo	alternativoj	prononco
level	ĝis la revido, ĝis revido	ще се видим (отново), ще се видим (отново)	see you (again), see you (again)	grupo	alternativoj	prononco
level	ĝis!	до! (Довиждане!)	until! (goodbye!)	grupo	alternativoj	prononco
level	ekparoli	да започне да говори	to start talking	grupo	alternativoj	prononco
level	ekparolis, komencis paroli finfine	започна да казва, започна да говори най-накрая	started saying, began to speak at last	grupo	alternativoj	prononco
level	trinkis rapidege	пи много бързо	drank very fast	grupo	alternativoj	prononco
level	trinkis matenan trinkaĵon	изпи сутрешно питие	had a morning drink	grupo	alternativoj	prononco
level	por frue veni	да дойде рано	to come early	grupo	alternativoj	prononco
level	veni al la lernejo	да дойде на училище	to come to school	grupo	alternativoj	prononco
level	frue veni al ~	да идвам рано на ~	to come early to ~	grupo	alternativoj	prononco
level	ne aŭdis novaĵon	не чух новини	didn't hear news	grupo	alternativoj	prononco
level	ankoraŭ ne aŭdis	още не съм чувал	didn't hear yet	grupo	alternativoj	prononco
level	mi ankoraŭ ne aŭdis	Още не съм чул	I didn't hear yet	grupo	alternativoj	prononco
level	en tiu momento	в този момент	in that moment	grupo	alternativoj	prononco
level	en tiu momento li ekkriis	в този момент той извика	in that moment he cried	grupo	alternativoj	prononco
level	knabo, kiu ne amas	момче, което не обича	a boy, who does not love	grupo	alternativoj	prononco
level	geknaboj	момчета и момичета	boys and girls	grupo	alternativoj	prononco
level	aliaj geknaboj	други момчета и момичета	other boys and girls	grupo	alternativoj	prononco
level	ne amas aliajn geknabojn	не обича други момчета и момичета	does not love other boys and girls	grupo	alternativoj	prononco
level	nek amikojn, nek amikinojn	нито приятели, нито приятелки	neither friends nor girl friends	grupo	alternativoj	prononco
level	havas nek monon, nek tempon	няма нито пари, нито време	does not have neither money nor time	grupo	alternativoj	prononco
level	kiu havis la libron?	кой имаше книгата?	who had the book?	grupo	alternativoj	prononco
level	la libron, kiun vi atendis	книгата, която чакахте	the book which you waited	grupo	alternativoj	prononco
level	tiun, kiun vi atendis pli ol du jarojn	това, което чакахте повече от 2 години	that, which you waited for more than 2 years	grupo	alternativoj	prononco
level	ĉu vi volas tion?	искаш ли това?	do you want that?	grupo	alternativoj	prononco
level	ĉu vi volas, ke ~ ?	искаш ли това ~?	do you want that ~ ?	grupo	alternativoj	prononco
level	plej kara	най-скъп	dearest	grupo	alternativoj	prononco
level	plej kara foto	най-скъпата снимка	dearest photo	grupo	alternativoj	prononco
level	mian plej karan foton	моята най-скъпа снимка	my dearest photo	grupo	alternativoj	prononco
level	kie vi aĉetis ~ ?	откъде купи ~?	where did you buy ~ ?	grupo	alternativoj	prononco
level	tiu vestaĵo	това облекло	that clothing	grupo	alternativoj	prononco
level	tiun vestaĵon	това облекло (обективно)	that clothing (objective)	grupo	alternativoj	prononco
level	aĉetis tiun vestaĵon	купи това облекло	bought that outfit	grupo	alternativoj	prononco
level	vi iros tien	ще отидеш там	you will go there	grupo	alternativoj	prononco
level	kien vi iros?	къде отиваш?	where are you going to?	grupo	alternativoj	prononco
level	suna tago	Слънчев ден	sunny day	grupo	alternativoj	prononco
level	estos suna tago	ще бъде слънчев ден	it will be a sunny day	grupo	alternativoj	prononco
level	se estos suna tago	ако ще е слънчев ден	if it will be a sunny day	grupo	alternativoj	prononco
level	via frato jam ekiris	брат ти вече започна	your brother has already started	grupo	alternativoj	prononco
level	ĉu via frato jam ekiris?	брат ти започна ли вече?	has your brother started yet?	grupo	alternativoj	prononco
level	kie estas la akvo?	къде е водата	where is the water	grupo	alternativoj	prononco
level	kunporti la akvon	да донесе водата	to bring the water	grupo	alternativoj	prononco
level	vi mem kunportis	ти сам донесе	you yourself brought	grupo	alternativoj	prononco
level	la akvon, kion vi mem kunportis	водата, която ти сам донесе	the water, that you yourself brought	grupo	alternativoj	prononco
level	estis tre trankvila	беше много тихо	was very quiet	grupo	alternativoj	prononco
level	hodiaŭ mia patrino estis ~	днес майка ми беше ~	today my mother was ~	grupo	alternativoj	prononco
level	mi venis el ~	Дойдох от ~	I came from ~	grupo	alternativoj	prononco
level	el la lernejo	извън училището	out of the school	grupo	alternativoj	prononco
level	raportis al ~	докладвано на ~	reported to ~	grupo	alternativoj	prononco
level	kaj raportis al ŝi	и й докладвал	and reported to her	grupo	alternativoj	prononco
level	raportis, ke ~	съобщи, че ~	reported that ~	grupo	alternativoj	prononco
level	raportis, ke mi ricevos	съобщи, че ще получа	reported that I will receive	grupo	alternativoj	prononco
level	mi ricevos malbonan noton	Ще получа лоша оценка	I will get a bad grade	grupo	alternativoj	prononco
level	ŝi diris, ke ~	тя каза, че ~	she said that ~	grupo	alternativoj	prononco
level	vi devas laborigi ~	трябва да накарате ~ да работи	you have to make ~ work	grupo	alternativoj	prononco
level	pli multe	Повече ▼	more	grupo	alternativoj	prononco
level	pli multe laborigi	за да работи повече	to make work more	grupo	alternativoj	prononco
level	laborigi vian kapon	да накара главата ти да работи	to make your head work	grupo	alternativoj	prononco
level	kiom da malbonaj notoj	колко лоши оценки	how many bad grades	grupo	alternativoj	prononco
level	vi havas tiom da malbonaj notoj	имаш толкова много лоши оценки	you have so many bad grades	grupo	alternativoj	prononco
level	estis malĝoja	беше тъжен	was sad	grupo	alternativoj	prononco
level	en vian ĉambron	в стаята си	into your room	grupo	alternativoj	prononco
level	iru en vian ĉambron	влез в стаята си	go into your room	grupo	alternativoj	prononco
level	iru kaj lernu	иди и се учи	go and learn	grupo	alternativoj	prononco
level	mi sidis	седнах	I sat	grupo	alternativoj	prononco
level	en mia ĉambro	в моята стая	in my room	grupo	alternativoj	prononco
level	sidis en mia ĉambro	седях в моята стая	sat in my room	grupo	alternativoj	prononco
level	nek lerni nek legi	нито учи, нито чете	neither learn nor read	grupo	alternativoj	prononco
level	sed mi povis nek lerni nek legi	но не можех нито да уча, нито да чета	but I could neither learn nor read	grupo	alternativoj	prononco
level	miaj pensoj	мислите ми	my thoughts	grupo	alternativoj	prononco
level	ĉe ludo	на игра	at a game	grupo	alternativoj	prononco
level	ludo kun miaj amikoj	игра с моите приятели	game with my friends	grupo	alternativoj	prononco
level	ĉe sporto	в спорта	at sport	grupo	alternativoj	prononco
level	al mi mem	на себе си	to myself	grupo	alternativoj	prononco
level	diris al mi mem	казах си	said to myself	grupo	alternativoj	prononco
level	tiom malsaĝa	толкова глупав	so stupid	grupo	alternativoj	prononco
level	ĉu mi estas tiom malsaĝa?	толкова ли съм глупава	am I that stupid?	grupo	alternativoj	prononco
level	kvankam mi lernis multe	въпреки че научих много	although I learned a lot	grupo	alternativoj	prononco
level	la patrino eniris	влезе майката	the mother entered	grupo	alternativoj	prononco
level	miaj vortoj	моите думи	my words	grupo	alternativoj	prononco
level	kaj aŭdis miajn vortojn	и чу думите ми	and heard my words	grupo	alternativoj	prononco
level	ŝi tuj respondis	- веднага отговори тя	she answered immediately	grupo	alternativoj	prononco
level	ne, mia kara	не, скъпа моя	no, my dear	grupo	alternativoj	prononco
level	vi ne estas malsaĝa	ти не си глупав	you are not stupid	grupo	alternativoj	prononco
level	la problemo estas, ke ~	проблемът е, че ~	the problem is that ~	grupo	alternativoj	prononco
level	ke vi devas lerni	че трябва да научите	that you must learn	grupo	alternativoj	prononco
level	devas lerni multe pli	трябва да научи много повече	must learn much more	grupo	alternativoj	prononco
level	tiam vi ne havos	тогава няма да имате	then you will not have	grupo	alternativoj	prononco
level	malbonaj notoj	лоши оценки	bad grades	grupo	alternativoj	prononco
level	havos nur malbonajn notojn	ще има само лоши оценки	will have only bad grades	grupo	alternativoj	prononco
level	ankaŭ nun	също и сега	also now	grupo	alternativoj	prononco
level	mi ne havas ilin	аз ги нямам	I don't have them	grupo	alternativoj	prononco
level	mi havas bonan noton	Имам добра оценка	I have a good grade	grupo	alternativoj	prononco
level	pri muziko	относно музиката	about music	grupo	alternativoj	prononco
level	bonan noton pri muziko	добра бележка за музиката	a good note on music	grupo	alternativoj	prononco
level	la patrino subite ekridis	– внезапно избухна в смях майката	the mother suddenly burst out laughing	grupo	alternativoj	prononco
level	tio plibeligis ~	който разкраси ~	that beautified ~	grupo	alternativoj	prononco
level	mian tagon	Моят ден	my day	grupo	alternativoj	prononco
level	plibeligis mian tagon	оправи ми деня	made my day	grupo	alternativoj	prononco
level	sed tamen restis	но все пак остана	but still remained	grupo	alternativoj	prononco
level	sed la problemo tamen restis	но проблемът си остана	but the problem still remained	grupo	alternativoj	prononco
level	kilogramo da ~	килограм ~	a kilogram of ~	grupo	alternativoj	prononco
level	kilogramo da sukero	килограм захар	a kilogram of sugar	grupo	alternativoj	prononco
level	glaso da ~	чаша ~	a glass of ~	grupo	alternativoj	prononco
level	glaso da akvo	чаша вода	a glass of water	grupo	alternativoj	prononco
level	multe da ~	много ~	a lot of ~	grupo	alternativoj	prononco
level	multe da ideoj	много идеи	lots of ideas	grupo	alternativoj	prononco
level	deteni sin	да задържа	to hold back	grupo	alternativoj	prononco
level	ordigis ĉion	подреди всичко	sorted everything out	grupo	alternativoj	prononco
level	transdonis al li	предадено му	handed over to him	grupo	alternativoj	prononco
level	mi petas	питам	I'm asking	grupo	alternativoj	prononco
level	glason da kafo	чаша кафе	a glass of coffee	grupo	alternativoj	prononco
level	kaj iom da akvo	и малко вода	and some water	grupo	alternativoj	prononco
level	mi petas glason da kafo	Искам чаша кафе	I would like a glass of coffee	grupo	alternativoj	prononco
level	mi petas tason da teo	Искам чаша чай	I would like a cup of tea	grupo	alternativoj	prononco
level	doloris lin	нарани го	hurt him	grupo	alternativoj	prononco
level	la kapo doloris lin	главата го болеше	his head hurt	grupo	alternativoj	prononco
level	li malsaniĝis	той се разболя	he fell ill	grupo	alternativoj	prononco
level	ŝatas esti bela	обича да е красива	likes to be beautiful	grupo	alternativoj	prononco
level	ŝi beligis sian vizaĝon	тя разкраси лицето си	she beautified her face	grupo	alternativoj	prononco
level	la knabo ŝatas esti bela	момчето обича да е красиво	the boy likes to be pretty	grupo	alternativoj	prononco
level	pro tio ŝi beligis ĝin	затова тя го разкраси	therefore she beautified it	grupo	alternativoj	prononco
level	post la tagmanĝo	след обяд	after lunch	grupo	alternativoj	prononco
level	purigi la kuirejon	да почистя кухнята	to clean the kitchen	grupo	alternativoj	prononco
level	kiu purigos la kuirejon?	кой ще чисти кухнята?	who will clean the kitchen?	grupo	alternativoj	prononco
level	volas trinki	иска да пие	wants to drink	grupo	alternativoj	prononco
level	kion vi volas trinki?	Какво искаш да пиеш	what do you want to drink	grupo	alternativoj	prononco
level	trinki teon	да пия чай	to drink tea	grupo	alternativoj	prononco
level	iom da akvo	малко вода	a little of water	grupo	alternativoj	prononco
level	ĉu vi volas nenion?	нищо ли не искаш	do you want nothing?	grupo	alternativoj	prononco
level	tiel subite	така внезапно	so suddenly	grupo	alternativoj	prononco
level	kial vi decidis ~ ?	защо реши ~?	why did you decide ~ ?	grupo	alternativoj	prononco
level	kial vi tiel subite decidis ~ ?	защо реши толкова внезапно?	why did you decide ~ so suddenly?	grupo	alternativoj	prononco
level	via ĉambro	твоята стая	your room	grupo	alternativoj	prononco
level	via ĉambreto	вашата малка стая	your little room	grupo	alternativoj	prononco
level	vian ĉambreton	в малката ти стая	to your little room	grupo	alternativoj	prononco
level	renovigi vian ĉambreton	да ремонтирате малката си стая	to renovate your little room	grupo	alternativoj	prononco
level	decidis renovigi vian ĉambreton	решихте да ремонтирате малката си стая	decided to renovate your little room	grupo	alternativoj	prononco
level	al kiu	на кого	to whom	grupo	alternativoj	prononco
level	vi donis ~	ти даде ~	you gave ~	grupo	alternativoj	prononco
level	al kiu vi donis ~ ?	на кого даде ~?	to whom did you give ~ ?	grupo	alternativoj	prononco
level	puraj glasoj	чисти очила	clean glasses	grupo	alternativoj	prononco
level	vi donis la purajn glasojn	ти даде чистите очила	you gave the clean glasses	grupo	alternativoj	prononco
level	la puraj glasoj por la vino	чистите чаши за виното	the clean glasses for the wine	grupo	alternativoj	prononco
level	kontraŭ kiu	срещу кого	against whom	grupo	alternativoj	prononco
level	via sportklubo	вашия спортен клуб	your sports club	grupo	alternativoj	prononco
level	ludas kontraŭ ~	играе срещу ~	plays against ~	grupo	alternativoj	prononco
level	antaŭ du semajnoj	преди две седмици	two weeks ago	grupo	alternativoj	prononco
level	kontraŭ kiu via sportklubo ludis?	срещу кого играе вашият спортен клуб?	who did your sports club play against?	grupo	alternativoj	prononco
level	ĉu vi vidas ~ ?	виждаш ли ~?	do you see ~ ?	grupo	alternativoj	prononco
level	ĉu vi ofte vidas ~ ?	виждате ли се често ~?	do you often see ~ ?	grupo	alternativoj	prononco
level	ofte vidas la policiston	често виждам полицая	often see the policeman	grupo	alternativoj	prononco
level	tiu, kiu loĝas en ~	този, който живее в ~	the one who lives in ~	grupo	alternativoj	prononco
level	loĝas en la loĝejo	живее в квартирата	lives in the lodging place	grupo	alternativoj	prononco
level	la loĝejo super vi	жилище над вас	the dwelling place above you	grupo	alternativoj	prononco
level	vidas la policiston, kiu loĝas en ~	вижда полицая, който живее в ~	sees the police officer who lives in ~	grupo	alternativoj	prononco
level	plano pri veturado	план за шофиране	driving plan	grupo	alternativoj	prononco
level	volis vojaĝi	искаше да пътува	wanted to travel	grupo	alternativoj	prononco
level	vojaĝi al alia lando	да пътува до друга държава	to travel to another country	grupo	alternativoj	prononco
level	en libertempo	в свободното време	in free time	grupo	alternativoj	prononco
level	ili decidis iri	те решиха да отидат	they decided to go	grupo	alternativoj	prononco
level	decidis iri al Italio	реши да отиде в Италия	decided to go to Italy	grupo	alternativoj	prononco
level	malnovaj urboj	стари градове	old cities	grupo	alternativoj	prononco
level	lando kun malnovaj urboj	страна със стари градове	a country with old cities	grupo	alternativoj	prononco
level	aliaj belaĵoj	други красавици	other beauties	grupo	alternativoj	prononco
level	kaj aliaj belaĵoj	и други красоти	and other beauties	grupo	alternativoj	prononco
level	bela lando kun malnovaj urboj kaj aliaj belaĵoj	красива страна със стари градове и други красоти	a beautiful country with old cities and other beauties	grupo	alternativoj	prononco
level	ili estis feliĉaj	те бяха щастливи	they were happy	grupo	alternativoj	prononco
level	kie estas ~ ?	къде е ~?	where is ~ ?	grupo	alternativoj	prononco
level	kie estas mia vestaĵo?	къде са дрехите ми	where are my clothes	grupo	alternativoj	prononco
level	ŝi demandis ~	попита тя ~	she asked ~	grupo	alternativoj	prononco
level	ni ne forgesu kunporti ~	да не забравяме да донесем ~	let's not forget to bring ~	grupo	alternativoj	prononco
level	kunporti la libron	да вземете книгата със себе си	to take the book with you	grupo	alternativoj	prononco
level	libro por lerni Esperanton	книга за изучаване на есперанто	a book to learn Esperanto	grupo	alternativoj	prononco
level	kunporti libron por lerni	да носи книга, за да учи	to carry a book to learn	grupo	alternativoj	prononco
level	ni povas komenci ~	можем да започнем ~	we can start ~	grupo	alternativoj	prononco
level	en la vagonaro	във влака	in the train	grupo	alternativoj	prononco
level	jam en la vagonaro	вече във влака	already in the train	grupo	alternativoj	prononco
level	ni nenion faros	няма да направим нищо	we won't do anything	grupo	alternativoj	prononco
level	per aŭto	с кола	by car	grupo	alternativoj	prononco
level	ni veturos per ~	ще караме с ~	we will drive by ~	grupo	alternativoj	prononco
level	veturos per aŭto	ще кара кола	will drive a car	grupo	alternativoj	prononco
level	mi havas sekreton	Имам една тайна	I have a secret	grupo	alternativoj	prononco
level	mia riĉa onklo	моят богат чичо	my rich uncle	grupo	alternativoj	prononco
level	mia deziro	моето желание	my wish	grupo	alternativoj	prononco
level	plenumis mian deziron	изпълни желанието ми	fulfilled my wish	grupo	alternativoj	prononco
level	donis al ni	даде ни	gave us	grupo	alternativoj	prononco
level	sian aŭton	неговата кола	his car	grupo	alternativoj	prononco
level	kaj donis al ni sian aŭton	и ни даде колата си	and gave us his car	grupo	alternativoj	prononco
level	por uzo	за използване	for use	grupo	alternativoj	prononco
level	ĝi staras antaŭ ~	стои пред ~	it stands before ~	grupo	alternativoj	prononco
level	staras antaŭ la domo	стои пред къщата	stands in front of the house	grupo	alternativoj	prononco
level	mi devas diri ~	Трябва да кажа ~	I have to say ~	grupo	alternativoj	prononco
level	nenion diru	не казвай нищо	don't say anything	grupo	alternativoj	prononco
level	ni eksidu	нека седнем	let's sit down	grupo	alternativoj	prononco
level	eksidu en la aŭton	Влизай в колата	get in the car	grupo	alternativoj	prononco
level	veturi al ~	да карам до ~	to drive to ~	grupo	alternativoj	prononco
level	kaj veturu al Italio	и карам до Италия	and drive to Italy	grupo	alternativoj	prononco
level	sidis en la aŭto	седна в колата	sat in the car	grupo	alternativoj	prononco
level	ankaŭ la vestaĵoj	също и дрехите	also the clothes	grupo	alternativoj	prononco
level	~ estis en la aŭto	~ беше в колата	~ was in the car	grupo	alternativoj	prononco
level	ankoraŭ sidadis kaj atendis	все още седеше и чакаше	still sat and waited	grupo	alternativoj	prononco
level	sed li atendis	но той чакаше	but he waited	grupo	alternativoj	prononco
level	kial ni ne ~ ?	защо не ~ ?	why don't we ~ ?	grupo	alternativoj	prononco
level	kial ni ne ekveturas?	защо не започнем да караме?	why don't we start driving?	grupo	alternativoj	prononco
level	ankaŭ mi havas ~	Аз също имам ~	I have ~ too	grupo	alternativoj	prononco
level	veturigus la aŭton	би карал колата	would drive the car	grupo	alternativoj	prononco
level	sed mi ne scias ~	но не знам ~	but I don't know ~	grupo	alternativoj	prononco
level	mi neniam lernis tion	Никога не съм го научил	I never learned that	grupo	alternativoj	prononco
level	mi kredus ~	Бих повярвал ~	I would believe ~	grupo	alternativoj	prononco
level	se mi estus sana	ако бях здрав	if I were healthy	grupo	alternativoj	prononco
level	mi estus tre feliĉa	Много бих се радвал	I would be very happy	grupo	alternativoj	prononco
level	kvazaŭ vi estus riĉulo	все едно си богат	as if you were rich	grupo	alternativoj	prononco
level	vi sidas tie kvazaŭ vi estus riĉulo	седиш там, сякаш си богат човек	you sit there as if you were a rich man	grupo	alternativoj	prononco
level	kvazaŭa lernejo	предполагаемо училище	alleged school	grupo	alternativoj	prononco
level	kvazaŭ riĉulo	като богат човек	like a rich man	grupo	alternativoj	prononco
level	vi sidas tie kvazaŭ riĉulo	седиш там като богат човек	you sit there like a rich man	grupo	alternativoj	prononco
level	tiom da mono	толкова много пари	so much money	grupo	alternativoj	prononco
level	tiom da mono kiom da ideoj	колкото пари, толкова и идеи	as much money as ideas	grupo	alternativoj	prononco
level	se mi havus tiom da mono	ако имах толкова пари	if I had that much money	grupo	alternativoj	prononco
level	mi vojaĝadus	Бих пътувал	I would travel	grupo	alternativoj	prononco
level	ĉirkaŭ la mondo	по света	around the world	grupo	alternativoj	prononco
level	en ĉiu vortaro	във всеки речник	in every dictionary	grupo	alternativoj	prononco
level	mankas io	нещо липсва	something is missing	grupo	alternativoj	prononco
level	mankas kelkaj vortoj	някои думи липсват	some words are missing	grupo	alternativoj	prononco
level	homo, kiu longe parolis	човек, който говори дълго	a man who spoke at length	grupo	alternativoj	prononco
level	ĉe la manĝotablo	на масата за хранене	at the dining table	grupo	alternativoj	prononco
level	homo, kiu rakontas, restos malsata	човек, който разказва, ще остане гладен	a person who tells will remain hungry	grupo	alternativoj	prononco
level	rakontadas ĉe la manĝo tablo	продължава да разказва на масата за хранене	keeps telling at the dining table	grupo	alternativoj	prononco
level	li devis atenti ~	той трябваше да обърне внимание на ~	he had to pay attention to ~	grupo	alternativoj	prononco
level	ne rajtis ~	не му беше позволено да ~	was not allowed to ~	grupo	alternativoj	prononco
level	rajtis resti	му беше позволено да остане	was allowed to stay	grupo	alternativoj	prononco
level	ne rajtis longe resti	не му беше позволено да остане дълго	was not allowed to stay long	grupo	alternativoj	prononco
level	resti ekstere en pluvo	да стои навън под дъжда	to stay out in the rain	grupo	alternativoj	prononco
level	tial li malvarmumis	затова е настинал	that's why he caught a cold	grupo	alternativoj	prononco
level	li havas sian klaran ideon	той има своя ясна идея	he has his own clear idea	grupo	alternativoj	prononco
level	sed li kredos ĉion	но той ще повярва на всичко	but he will believe everything	grupo	alternativoj	prononco
level	ĉion, kion vi diros	каквото кажеш	whatever you say	grupo	alternativoj	prononco
level	kvazaŭ vi estus lia edzino	все едно си му жена	as if you were his wife	grupo	alternativoj	prononco
level	viaj gepatroj	Вашите родители	your parents	grupo	alternativoj	prononco
level	ĝojigi viajn gepatrojn	за да зарадваш родителите си	to make your parents happy	grupo	alternativoj	prononco
level	kio povus ĝojigi ~ ?	какво може да зарадва ~?	what could please ~ ?	grupo	alternativoj	prononco
level	kio povus plej ĝojigi viajn gepatrojn?	какво може да направи родителите ти най-щастливи?	what could make your parents the most happy?	grupo	alternativoj	prononco
level	post la lernado	след ученето	after the learning	grupo	alternativoj	prononco
level	almenaŭ post la lernado	поне след ученето	at least after the learning	grupo	alternativoj	prononco
level	en la urbocentron	в центъра на града	into the city center	grupo	alternativoj	prononco
level	se vi irus kun mi	ако отидеш с мен	if you would go with me	grupo	alternativoj	prononco
level	se vi irus kun mi en la urbocentron	ако отидете с мен в центъра	if you would go downtown with me	grupo	alternativoj	prononco
level	kien vi dezirus vojaĝi?	къде бихте искали да пътувате?	where would you like to travel?	grupo	alternativoj	prononco
level	se vi havus ~	ако сте имали ~	if you had ~	grupo	alternativoj	prononco
level	sufiĉe da mono	достатъчно пари	enough money	grupo	alternativoj	prononco
level	se vi havus sufiĉe da mono kaj tempo	ако имаш достатъчно пари и темп	if you had enough money and temp	grupo	alternativoj	prononco
level	ĉu vi planas ~ ?	планирате ли ~?	are you planning to ~ ?	grupo	alternativoj	prononco
level	planas veturi al Parizo	планира да пътува до Париж	plans to travel to Paris	grupo	alternativoj	prononco
level	veturi per aŭto	да карам с axuto	to drive with an axuto	grupo	alternativoj	prononco
level	multe pli bone	много по-добре	much better	grupo	alternativoj	prononco
level	ŝajnas multe pli bone	изглежда много по-добре	seems much better	grupo	alternativoj	prononco
level	per vagonaro	с влак	by train	grupo	alternativoj	prononco
level	aŭ ĉu ne ŝajnas esti multe pli bone?	или не изглежда да е много по-добре?	or doesn't it seem to be much better?	grupo	alternativoj	prononco
level	diversaj homoj	различни хора	various people	grupo	alternativoj	prononco
level	kial homoj klarigas diversmaniere?	защо хората обясняват по различни начини?	why do people explain in different ways?	grupo	alternativoj	prononco
level	samaj ideoj	същите идеи	same ideas	grupo	alternativoj	prononco
level	klarigas samajn ideojn	обяснява същите идеи	explains the same ideas	grupo	alternativoj	prononco
level	familianoj kunvenas	членовете на семейството се събират	family members get together	grupo	alternativoj	prononco
level	kiel rapide	колко бързо	how quickly	grupo	alternativoj	prononco
level	tagoj pasas	минават дни	days pass	grupo	alternativoj	prononco
level	kiel rapide pasas tagoj!	колко бързо минават дните!	how quickly the days pass!	grupo	alternativoj	prononco
level	morgaŭ estos ~	утре ще бъде ~	tomorrow will be ~	grupo	alternativoj	prononco
level	la naskiĝtago de via patro	рождения ден на баща ти	your father's birthday	grupo	alternativoj	prononco
level	kelkaj familianoj	няколко членове на семейството	several family members	grupo	alternativoj	prononco
level	alvenos kelkaj familianoj	ще дойдат няколко членове на семейството	several family members will come	grupo	alternativoj	prononco
level	kaj geamikoj	и приятели	and friends	grupo	alternativoj	prononco
level	ĉu vi bonvolus ~ ?	бихте ли моля ~?	would you please ~ ?	grupo	alternativoj	prononco
level	ĉu vi bonvolus iom helpi?	бихте ли помогнали малко?	could you please help a little?	grupo	alternativoj	prononco
level	iomete da tempo	малко	a little while	grupo	alternativoj	prononco
level	trovu iomete da tempo	намери малко време	find a little time	grupo	alternativoj	prononco
level	por ordigi vian ĉambron	да ти подреди стаята	to tidy your room	grupo	alternativoj	prononco
level	almenaŭ por ordigi vian ĉambron	поне да ти подреди стаята	at least to tidy your room	grupo	alternativoj	prononco
level	mi ŝatus ~	Бих искал ~	I would like ~	grupo	alternativoj	prononco
level	mi ŝatus kuiri ion	Бих искал да сготвя нещо	I would like to cook something	grupo	alternativoj	prononco
level	ion bonan	нещо добро	something good	grupo	alternativoj	prononco
level	kuiri ion bonan	сготви нещо хубаво	cook something good	grupo	alternativoj	prononco
level	por la naskiĝ-taga kuko	за тортата за рожден ден	for the birthday cake	grupo	alternativoj	prononco
