C.tr content.tsv
Level	Esperanto	tr	en-us	Grupo	Alternativoj	Pronoco
level	manipuli	manipüle etmek, işlemek, idare etmek	to manipulate, to handle, to manage	grupo	alternativoj	prononco
level	malfeliĉo	bir mutsuzluk	an unhappiness	grupo	alternativoj	prononco
level	malforte	zayıf	weakly	grupo	alternativoj	prononco
level	akso	bir eksen	an axis	grupo	alternativoj	prononco
level	praa	tarih öncesi, çok eski, uzak	prehistorical, very old, remote	grupo	alternativoj	prononco
level	mallaŭte	alçak sesle	in low voice	grupo	alternativoj	prononco
level	periodaĵo	Periyodik	a periodical	grupo	alternativoj	prononco
level	groto	mağara, mağara, çukur	a grotto, a cave, a pothole	grupo	alternativoj	prononco
level	praavo	büyük büyük büyükbaba (uzaktan)	a great great grandfather (remote)	grupo	alternativoj	prononco
level	profesio	bir meslek	a profession	grupo	alternativoj	prononco
level	mallumo	karanlık	darkness	grupo	alternativoj	prononco
level	posteno	bir pozisyon	a position	grupo	alternativoj	prononco
level	ironio	bir ironi	an irony	grupo	alternativoj	prononco
level	malmultekosta	ucuz	cheap	grupo	alternativoj	prononco
level	fiziko	fizik	physics	grupo	alternativoj	prononco
level	malproksime	uzak	far away	grupo	alternativoj	prononco
level	malsaĝa	şapşal	silly	grupo	alternativoj	prononco
level	poŝtelefono	bir cep telefonu	a mobile phone	grupo	alternativoj	prononco
level	praarbaro	ilkel bir orman	a primeval forest	grupo	alternativoj	prononco
level	poŝtoficejo	Postane	a post office	grupo	alternativoj	prononco
level	malsukcesa	başarısız, başarısız	unsuccessful, failing	grupo	alternativoj	prononco
level	plekti	örmek, örmek, örmek, çelenk örmek	to braid, to plait, to twine, to wreathe	grupo	alternativoj	prononco
level	rumano	bir Rumen kişi	a Romanian person	grupo	alternativoj	prononco
level	elasta	elastik	elastic	grupo	alternativoj	prononco
level	manĝegi	çok yemek	to eat much	grupo	alternativoj	prononco
level	mortigo	bir cinayet (=murdo)	a murder (=murdo)	grupo	alternativoj	prononco
level	oblikva	eğik, eğik, çarpık	oblique, slanting, askew	grupo	alternativoj	prononco
level	verando	bir veranda, bir sundurma	a veranda, a porch	grupo	alternativoj	prononco
level	rabi	soymak	to rob	grupo	alternativoj	prononco
level	retletero	bir e-posta	an email	grupo	alternativoj	prononco
level	orienti	yönlendirmek	to orientate	grupo	alternativoj	prononco
level	eksplodi	patlamak	to explode	grupo	alternativoj	prononco
level	alternativo	bir alternatif	an alternative	grupo	alternativoj	prononco
level	naskiĝtaga	doğum günü	birthday's	grupo	alternativoj	prononco
level	efekto	bir etki	an effect	grupo	alternativoj	prononco
level	fasti	oruç tutmak (yiyeceklerden kaçınmak)	to fast (abstain from food)	grupo	alternativoj	prononco
level	nehoma	insanlık dışı	inhumane	grupo	alternativoj	prononco
level	nokta	gece, gecelik, gece	night's, nightly, nocturnal	grupo	alternativoj	prononco
level	diametro	bir çap	a diameter	grupo	alternativoj	prononco
level	paŝti	otlatmak, çobanlık etmek, beslemek	to pasture, to shepherd, to feed	grupo	alternativoj	prononco
level	paperujo	kağıt çöp için bir kutu	a bin for paper garbage	grupo	alternativoj	prononco
level	miskompreni	Yanlış anlamak	to misunderstand	grupo	alternativoj	prononco
level	kozako	bir Kazak insanı	a Cossack person	grupo	alternativoj	prononco
level	varo	emtia, ticaret malı, emtia, eşya	commodity, trade good, merchandise, wares	grupo	alternativoj	prononco
level	plenigadi	doldurmaya devam etmek	to keep filling	grupo	alternativoj	prononco
level	nuko	ense, boyun	a nape, a neck	grupo	alternativoj	prononco
level	tipo	tür, örnek, model	type, example, model	grupo	alternativoj	prononco
level	plimulto	Bir çoğunluk	a majority	grupo	alternativoj	prononco
level	irako	Irak	Iraq	grupo	alternativoj	prononco
level	resumo	özet, özet, özgeçmiş, özetleme	a summary, a digest, a résumé, a sum-up	grupo	alternativoj	prononco
level	promeno	bir gezinti yeri, bir yürüyüş	a promenade, a walking	grupo	alternativoj	prononco
level	horizontalo	yatay bir çizgi	a horizontal line	grupo	alternativoj	prononco
level	fi-	(prefix) utanç verici, iğrenç, kirli	(prefix)  shameful, disgusting, dirty	grupo	alternativoj	prononco
level	aŭkcio	açık artırma	an auction	grupo	alternativoj	prononco
level	konkludi	sonuçlandırmak	to conclude	grupo	alternativoj	prononco
level	salivo	tükürük, köle taciri	saliva, slaver	grupo	alternativoj	prononco
level	subvencio	sübvansiyon, hibe	a subsidy, a grant	grupo	alternativoj	prononco
level	realigi	farketmek	to realise	grupo	alternativoj	prononco
level	koralo	bir mercan	a coral	grupo	alternativoj	prononco
level	cirkuli	dolaşmak, dolaşmak	to circulate, to go about	grupo	alternativoj	prononco
level	rekapti	tekrar yakalamak	to catch again	grupo	alternativoj	prononco
level	ekstari	ayağa kalkmak, kalkmak	to get stand up, to rise	grupo	alternativoj	prononco
level	ambasado	elçilik	an embassy	grupo	alternativoj	prononco
level	riĉeco	zenginlik	richness	grupo	alternativoj	prononco
level	rekonstrui	yeniden inşa etmek, yeniden inşa etmek	to rebuild, to reconstruct	grupo	alternativoj	prononco
level	kukumo	bir salatalık	a cucumber	grupo	alternativoj	prononco
level	samklubano	aynı kulübün üyesi	a member of a same club	grupo	alternativoj	prononco
level	konsulti	danışmak, bakmak	to consult, to look up	grupo	alternativoj	prononco
level	seninterese	çıkarları olmayan (=kötü niyetli)	without interests (=malinterese)	grupo	alternativoj	prononco
level	sensukcese	başarısız	without success	grupo	alternativoj	prononco
level	eĉ se ~	~ olsa bile	even if ~	grupo	alternativoj	prononco
level	modelo	Bir örnek	a model	grupo	alternativoj	prononco
level	rimo	bir kafiye	a rhyme	grupo	alternativoj	prononco
level	senvorte	kelimeler olmadan	without words	grupo	alternativoj	prononco
level	referenco	referans	a reference	grupo	alternativoj	prononco
level	komandi	Emir vermek	to command	grupo	alternativoj	prononco
level	krizo	Bir kriz	a crisis	grupo	alternativoj	prononco
level	vinagro	sirke	a vinegar	grupo	alternativoj	prononco
level	soleca	tek, yalnız	sole, alone	grupo	alternativoj	prononco
level	dano	Danimarkalı bir kişi, bir Danimarkalı	a Danish person, a dane	grupo	alternativoj	prononco
level	ŝtofo	kumaş, tekstil, kumaş, kumaş malzemesi	a fabric, textile, cloth, cloth material	grupo	alternativoj	prononco
level	viŝilo	bir silgi, bir silecek	an eraser, a wiper	grupo	alternativoj	prononco
level	konfidenco	gizlilik, güven, sır	a confidentiality, confidence, secret	grupo	alternativoj	prononco
level	sportisto	bir sporcu	a sportsman	grupo	alternativoj	prononco
level	arabo	Arap kişi, Arap	an Arabean person, an Arab	grupo	alternativoj	prononco
level	varii	değişmek	to vary	grupo	alternativoj	prononco
level	subakviĝi	batmak	to sink	grupo	alternativoj	prononco
level	oficiro	bir subay (askeri)	an officer (military)	grupo	alternativoj	prononco
level	ĉasisto	bir avcı	a hunter	grupo	alternativoj	prononco
level	konferenco	konferans	a conference	grupo	alternativoj	prononco
level	surhavi	giymek	to wear on	grupo	alternativoj	prononco
level	animalo	bir hayvan	an animal	grupo	alternativoj	prononco
level	teroristo	bir terörist	a terrorist	grupo	alternativoj	prononco
level	nobla	soylu	noble	grupo	alternativoj	prononco
level	travivaĵo	bir yaşanmışlık, bir deneyim, bir deneyim	a live-through, an undergo, an experience	grupo	alternativoj	prononco
level	komunismo	komünizm	communism	grupo	alternativoj	prononco
level	ŝinko	jambon	a ham	grupo	alternativoj	prononco
level	aspiri	hevesli olmak, hevesli olmak	to aspire to, to be eager for	grupo	alternativoj	prononco
level	ŝarko	bir köpekbalığı	a shark	grupo	alternativoj	prononco
level	buko	bir toka	a buckle	grupo	alternativoj	prononco
level	kvartalo	ilçe, mahalle, mahalle	a district, quarter, neighborhood	grupo	alternativoj	prononco
level	ŝildo	bir kalkan	a shield	grupo	alternativoj	prononco
level	veturigi	sürmek	to drive	grupo	alternativoj	prononco
level	vidvo	dul erkek	a widower	grupo	alternativoj	prononco
level	Kanado	Kanada	Canada	grupo	alternativoj	prononco
level	strigo	baykuş	an owl	grupo	alternativoj	prononco
level	stilo	bir stil	a style	grupo	alternativoj	prononco
level	ŝimo	bir kalıp	a mold	grupo	alternativoj	prononco
level	aplaŭdi	alkışlamak, alkışlamak, alkışlamak	to applaud, to clap, to acclaim	grupo	alternativoj	prononco
level	ŝmiraĵo	bir merhem	an ointment	grupo	alternativoj	prononco
level	vojaĝanto	Gezgin	a traveller	grupo	alternativoj	prononco
level	ĉeesto	katılım	a participation	grupo	alternativoj	prononco
level	pruvi	kanıtlamak, göstermek	to prove, to show	grupo	alternativoj	prononco
level	kantisto	şarkıcı	a singer	grupo	alternativoj	prononco
level	ĝustatempe	doğru zamanda	in correct time	grupo	alternativoj	prononco
level	inaŭguri	açılışını yapmak	to inaugurate	grupo	alternativoj	prononco
level	kantistino	kadın şarkıcı	a female singer	grupo	alternativoj	prononco
level	fluto	bir flüt	a flute	grupo	alternativoj	prononco
level	opozicii	karşı çıkmak, muhalif olmak	to oppose, to be in opposition	grupo	alternativoj	prononco
level	kuiristo	Bir aşçı	a cook	grupo	alternativoj	prononco
level	ŝipkuro	gemi yarışması	a ship competition	grupo	alternativoj	prononco
level	diktatoro	bir diktatör	a dictator	grupo	alternativoj	prononco
level	funebro	yas bandosu, keder (cenaze)	mourning band, grief (funeral)	grupo	alternativoj	prononco
level	instali	yüklemek	to install	grupo	alternativoj	prononco
level	kuiristino	kadın aşçı	a female cook	grupo	alternativoj	prononco
level	meksiko	Meksika	Mexico	grupo	alternativoj	prononco
level	eminenta	seçkin, seçkin	eminent, distinguished	grupo	alternativoj	prononco
level	verbo	bir fiil	a verb	grupo	alternativoj	prononco
level	surfaco	yüzey, yüzey	surface, a surface	grupo	alternativoj	prononco
level	bovlo	bir kase	a bowl	grupo	alternativoj	prononco
level	trajto	bir nitelik, özellik, hat (yüz)	a trait, a feature, line (of face)	grupo	alternativoj	prononco
level	demokratismo	demokrasi	democracy	grupo	alternativoj	prononco
level	ŝuti	boşaltmak, dökmek, boşaltmak	to dump, to pour, to pour out	grupo	alternativoj	prononco
level	baki	pişirmek	to bake	grupo	alternativoj	prononco
level	poŝtisto	bir postacı, bir postacı	a postman, a mailman	grupo	alternativoj	prononco
level	simpatio	sempati, sempati	sympathy, a sympathy	grupo	alternativoj	prononco
level	melono	bir kavun	a melon	grupo	alternativoj	prononco
level	abnorma	anormal	abnormal	grupo	alternativoj	prononco
level	sorĉi	büyülemek	to bewitch	grupo	alternativoj	prononco
level	juĝisto	hakim	a judge	grupo	alternativoj	prononco
level	reciproka	karşılıklı, karşılıklı	reciprocal, mutual	grupo	alternativoj	prononco
level	fabriko	bir fabrika, bir imalat (=manufakturo)	a factory, a manufacture (=manufakturo)	grupo	alternativoj	prononco
level	faldi	katlamak için	to fold	grupo	alternativoj	prononco
level	dentisto	Bir diş hekimi	a dentist	grupo	alternativoj	prononco
level	medikamento	ilaç, ilaç, ilaç	medication, a medicine, a drug	grupo	alternativoj	prononco
level	kaŝtano	kestane	a chestnut	grupo	alternativoj	prononco
level	testudo	bir kaplumbağa, bir kaplumbağa	a tortoise, a turtle	grupo	alternativoj	prononco
level	proceso	bir süreç, bir dava	a process, a lawsuit	grupo	alternativoj	prononco
level	eksperimento	bir deney	an experiment	grupo	alternativoj	prononco
level	heliko	salyangoz	a snail	grupo	alternativoj	prononco
level	dancisto	bir dansçı	a dancer	grupo	alternativoj	prononco
level	vodko	votka	vodka	grupo	alternativoj	prononco
level	esenco	öz, bir öz	essence, an essence	grupo	alternativoj	prononco
level	strukturo	yapı, bir yapı	structure, a structure	grupo	alternativoj	prononco
level	spongo	bir sünger	a sponge	grupo	alternativoj	prononco
level	imperiestro	bir imparator	an emperor	grupo	alternativoj	prononco
level	domaĝi	için endişelenmek, pişman olmak, korkmak	to be concerned for, to regret, to fear for	grupo	alternativoj	prononco
level	be!	olmak!	be!	grupo	alternativoj	prononco
level	sopiri	Özlemek, özlemek	to yearn for, to long for	grupo	alternativoj	prononco
level	modesta	mütevazı, ılımlı	modest, moderate	grupo	alternativoj	prononco
level	pozicio	bir konum, konum, yer	a position, a location, a place	grupo	alternativoj	prononco
level	inĝeniero	mühendis	an engineer	grupo	alternativoj	prononco
level	tegolo	bir çatı kiremit	a roofing tile	grupo	alternativoj	prononco
level	libio	Libya	Libya	grupo	alternativoj	prononco
level	ganto	bir eldiven	a glove	grupo	alternativoj	prononco
level	gruo	bir vinç	a crane	grupo	alternativoj	prononco
level	rezisti	direnmek	to resist	grupo	alternativoj	prononco
level	alfabeto	alfabe	alphabet	grupo	alternativoj	prononco
level	rampi	sürünmek, sürünmek	to crawl, to creep	grupo	alternativoj	prononco
level	transporti	taşımak	to transport	grupo	alternativoj	prononco
level	pupilo	gözbebeği (göz elması)	pupil (apple of the eye)	grupo	alternativoj	prononco
level	muskolo	bir kas	a muscle	grupo	alternativoj	prononco
level	beni	kutsamak	to bless	grupo	alternativoj	prononco
level	profito	bir kazanç, bir kazanç	a profit, a gain	grupo	alternativoj	prononco
level	Maria	Maria	Maria	grupo	alternativoj	prononco
level	kritiki	eleştirmek, eleştirmek	to criticize, to critique	grupo	alternativoj	prononco
level	konscienco	vicdan, ahlak duygusu, iç ses	conscience, moral sense, inner voice	grupo	alternativoj	prononco
level	ĉefo	bir lider, bir patron	a leader, a boss	grupo	alternativoj	prononco
level	Pakistano	Pakistan	Pakistan	grupo	alternativoj	prononco
level	treni	sürüklemek, çekmek	to drag, to tow	grupo	alternativoj	prononco
level	Venezuelo	Venezuela	Venezuela	grupo	alternativoj	prononco
level	ortografio	yazım	orthography	grupo	alternativoj	prononco
level	febro	ateş	a fever	grupo	alternativoj	prononco
level	ĉefurbo	bir başkent	a capital city	grupo	alternativoj	prononco
level	ravi	Hoşnut olmak	to delight	grupo	alternativoj	prononco
level	ĉagreni	canını sıkmak, sinirlendirmek, endişelendirmek	to vex, to annoy, to worry	grupo	alternativoj	prononco
level	ĉefi	önderlik etmek	to lead	grupo	alternativoj	prononco
level	ribeli	isyan etmek, isyan etmek	to rebel, to revolt	grupo	alternativoj	prononco
level	kancero	kanser	cancer	grupo	alternativoj	prononco
level	atesti	tasdik etmek, tanıklık etmek, tasdik etmek	to attest, to testify, to affirm	grupo	alternativoj	prononco
level	inklina	eğimli, eğilimli	inclined, prone	grupo	alternativoj	prononco
level	cirkonstanco	bir durum	a circumstance	grupo	alternativoj	prononco
level	bulgaro	Bulgar bir kişi	a Bulgarian person	grupo	alternativoj	prononco
level	frosta	ayaz, dondurucu	frosty, freezing	grupo	alternativoj	prononco
level	kakao	bir kakao çekirdeği, bir kakao	a cocoa bean, a cacao	grupo	alternativoj	prononco
level	tomato	bir domates	a tomato	grupo	alternativoj	prononco
level	firmao	bir firma, bir şirket (=firma)	a firm, a company (=firmo)	grupo	alternativoj	prononco
level	pigo	bir saksağan	a magpie	grupo	alternativoj	prononco
level	grafo	bir kont, bir kont	a count, an earl	grupo	alternativoj	prononco
level	Alĝerio	Cezayir	Algeria	grupo	alternativoj	prononco
level	instituto	bir enstitü	an institute	grupo	alternativoj	prononco
level	rifuĝi	sığınmak	to take refuge	grupo	alternativoj	prononco
level	arda	ateşli	ardent	grupo	alternativoj	prononco
level	armeno	bir Ermeni	an Armenian	grupo	alternativoj	prononco
level	anĝelo	bir melek	an angel	grupo	alternativoj	prononco
level	konvalo	vadideki zambak	a lily of the valley	grupo	alternativoj	prononco
level	egoismo	bencillik, bencillik, bencillik	egoism, egotism, selfishness	grupo	alternativoj	prononco
level	kinejo	bir sinema, bir sinema salonu	a cinema, a movie theater	grupo	alternativoj	prononco
level	rezervita	rezerve	reserved	grupo	alternativoj	prononco
level	kolono	sütun, sütun, sütun	column, a column, a pillar	grupo	alternativoj	prononco
level	deklari	ilan etmek	to declare	grupo	alternativoj	prononco
level	kirurgo	bir cerrah (=ĥirurgo)	a surgeon (=ĥirurgo)	grupo	alternativoj	prononco
level	indiferenta	kayıtsız	indifferent	grupo	alternativoj	prononco
level	trotuaro	bir kaldırım, bir kaldırım	a sidewalk, a pavement	grupo	alternativoj	prononco
level	prokrasti	ertelemek, ertelemek	to procrastinate, to delay	grupo	alternativoj	prononco
level	cikado	ağustosböceği	a cicada	grupo	alternativoj	prononco
level	instrumento	bir enstrüman	an instrument	grupo	alternativoj	prononco
level	cedi	teslim olmak, boyun eğmek, boyun eğmek	to cede, to yield, to give in	grupo	alternativoj	prononco
level	pretendi	iddia etmek, varsaymak	to claim, to presume	grupo	alternativoj	prononco
level	egoisto	bir egoist	an egoist	grupo	alternativoj	prononco
level	insisti	ısrar etmek	to insist	grupo	alternativoj	prononco
level	naiva	toy	naive	grupo	alternativoj	prononco
level	situi	yer almak, yer almak	to be located, to be situated	grupo	alternativoj	prononco
level	penetri	içine girmek	to penetrate	grupo	alternativoj	prononco
level	kapitalo	sermaye, sermaye	capital, a capital	grupo	alternativoj	prononco
level	demono	bir şeytan	a demon	grupo	alternativoj	prononco
level	licenco	lisans	a license	grupo	alternativoj	prononco
level	diferenci	ayırt etmek	to differentiate	grupo	alternativoj	prononco
level	skorpio	bir akrep	a scorpion	grupo	alternativoj	prononco
level	sufoki	boğulmak, boğulmak	to suffocate, to choke	grupo	alternativoj	prononco
level	tordi	bükülmek, bükülmek	to twist, to contort	grupo	alternativoj	prononco
level	kontanta	nakit	in cash	grupo	alternativoj	prononco
level	ĵuri	yemin etmek	to swear	grupo	alternativoj	prononco
level	apetita	iştah açıcı	appetitizing	grupo	alternativoj	prononco
level	adjektivo	bir sıfat	an adjective	grupo	alternativoj	prononco
level	pluralo	çoğul	a plural	grupo	alternativoj	prononco
level	aktuala	güncel öneme sahip, güncel, acil, ilgili	of current importance, topical, urgent, relevant	grupo	alternativoj	prononco
level	gesti	jest yapmak, jest yapmak	to gesture, to gesticulate	grupo	alternativoj	prononco
level	felo	kürk, post (hayvana ait, tüylü), deri	fur, hide (of animal, with hair), skin	grupo	alternativoj	prononco
level	mediti	meditasyon yapmak	to meditate	grupo	alternativoj	prononco
level	kolego	meslektaş	a colleague	grupo	alternativoj	prononco
level	amplekso	kapsam, kapsam, büyüklük	extent, scope, magnitude	grupo	alternativoj	prononco
level	kosmetiko	makyaj malzemeleri	cosmetics	grupo	alternativoj	prononco
level	Karlo	Charles, Carlos	Charles, Carlos	grupo	alternativoj	prononco
level	gluti	yutmak	to swallow	grupo	alternativoj	prononco
level	talento	Yetenek	a talent	grupo	alternativoj	prononco
level	ĝemelo	ikiz	a twin	grupo	alternativoj	prononco
level	deca	uygun, düzgün, uygun	decent, proper, suitable	grupo	alternativoj	prononco
level	krono	bir taç	a crown	grupo	alternativoj	prononco
level	ŝimi	kalıplanmak, küflenmek	to mould, to get moldy	grupo	alternativoj	prononco
level	ŝoforo	bir sürücü, bir şoför	a driver, a chauffeur	grupo	alternativoj	prononco
level	mistero	bir gizem	a mystery	grupo	alternativoj	prononco
level	absolute	kesinlikle	absolutely	grupo	alternativoj	prononco
level	laktuko	bir marul	a lettuce	grupo	alternativoj	prononco
level	destini	tayin etmek, tayin etmek, tahsis etmek	to destine, to ordain, to allocate	grupo	alternativoj	prononco
level	instigi	kışkırtmak, teşvik etmek	to instigate, to encourage	grupo	alternativoj	prononco
level	heroo	kahraman	a hero	grupo	alternativoj	prononco
level	ĉaro	bir araba, bir araba	a chariot, a cart	grupo	alternativoj	prononco
level	vegetalo	bir sebze, bir bitki	a vegetable, a plant	grupo	alternativoj	prononco
level	adopti	benimsemek	to adopt	grupo	alternativoj	prononco
level	centimetro	bir santimetre	a centimeter	grupo	alternativoj	prononco
level	enuiga	sıkıcı, sıkıcı	boring, stodgy	grupo	alternativoj	prononco
level	flirti	flört etmek, kanat çırpmak	to flirt, to flutter	grupo	alternativoj	prononco
level	mandato	bir vekalet, havale	a mandate, a money order	grupo	alternativoj	prononco
level	envii	kıskanmak	to envy	grupo	alternativoj	prononco
level	ebria	sarhoş, sarhoş	drunk, inebriated	grupo	alternativoj	prononco
level	sudano	Sudan	Sudan	grupo	alternativoj	prononco
level	fleksi	Bük	to bend	grupo	alternativoj	prononco
level	naŭzi	mide bulandırmak	to nauseate	grupo	alternativoj	prononco
level	likva	sıvı	liquid	grupo	alternativoj	prononco
level	kupro	bakır	copper	grupo	alternativoj	prononco
level	hoko	kanca	a hook	grupo	alternativoj	prononco
level	pafilo	Bir silah	a gun	grupo	alternativoj	prononco
level	filmi	film çekmek, film çekmek	to film, to shoot a film	grupo	alternativoj	prononco
level	bremso	bir fren	a brake	grupo	alternativoj	prononco
level	tereno	bir kampüs, bir arazi, bir zemin	a campus, a terrain, a ground	grupo	alternativoj	prononco
level	nigra tabulo	karatahta	a black board	grupo	alternativoj	prononco
level	foiro	bir fuar, bir pazar	a fair, a market	grupo	alternativoj	prononco
level	ĉimpanzo	bir şempanze	a chimpanzee	grupo	alternativoj	prononco
level	aktiva	aktif	active	grupo	alternativoj	prononco
level	juvelo	bir mücevher, bir mücevher (=mücevher)	a jewel, a gem (=gemo)	grupo	alternativoj	prononco
level	tendumi (kampadi)	kampa	to camp	grupo	alternativoj	prononco
level	malliberejo	bir hapishane	a prison	grupo	alternativoj	prononco
level	studprogramo	bir çalışma programı	a study program	grupo	alternativoj	prononco
level	avida	aç gözlü	greedy	grupo	alternativoj	prononco
level	flari	koklamak	to smell	grupo	alternativoj	prononco
level	garantii	garanti etmek, garanti etmek	to guarantee, to warrant	grupo	alternativoj	prononco
level	ĉeno	bir zincir	a chain	grupo	alternativoj	prononco
level	sekcio	bir bölüm	a section	grupo	alternativoj	prononco
level	akuzativo	suçlayıcı	an accusative	grupo	alternativoj	prononco
level	kandelo	Mum	a candle	grupo	alternativoj	prononco
level	konfirmi	onaylamak	to confirm	grupo	alternativoj	prononco
level	pando	bir panda	a panda	grupo	alternativoj	prononco
level	kultivi	yetiştirmek (meyve, sebze)	to cultivate (fruits, vegetables)	grupo	alternativoj	prononco
level	sojlo	bir eşik, bir eşik	a sill, a threshold	grupo	alternativoj	prononco
level	lacigi	yormak, yormak, yorulmak	to exhaust, to fatique, to tire	grupo	alternativoj	prononco
level	skribilaro	mutfak eşyaları, sabit	witing utensils, stationary	grupo	alternativoj	prononco
level	ĵaluza	kıskanç	jealous	grupo	alternativoj	prononco
level	kamiono	bir kamyon, bir kamyon, bir kamyon	a camion, a lorry, a truck	grupo	alternativoj	prononco
level	barakti	mücadele etmek	to struggle	grupo	alternativoj	prononco
level	svingi	sallanmak, sallanmak	to swing, to shake	grupo	alternativoj	prononco
level	ŝovi	itmek, itmek	to shove, to push along	grupo	alternativoj	prononco
level	tendo	bir çadır	a tent	grupo	alternativoj	prononco
level	preteksto	bir bahane, bir bahane	an excuse, a pretext	grupo	alternativoj	prononco
level	simpatia	sempatik	sympathetic	grupo	alternativoj	prononco
level	mino	bir maden	a mine	grupo	alternativoj	prononco
level	fantazia	fantastik	fantastic	grupo	alternativoj	prononco
level	komika	komik, komik	comic, comical	grupo	alternativoj	prononco
level	kruta	dik	steep	grupo	alternativoj	prononco
level	festeni	ziyafete gitmek, ziyafet çekmek	to banquet, to feast	grupo	alternativoj	prononco
level	alergio	alerji	allergy	grupo	alternativoj	prononco
level	juro	bir yasa	a law	grupo	alternativoj	prononco
level	ekspozicio	bir sergi, bir sergi	an exhibition, an exposition	grupo	alternativoj	prononco
level	akordiono	bir akordeon	an accordion	grupo	alternativoj	prononco
level	sfero	bir küre, bir top	a sphere, a ball	grupo	alternativoj	prononco
level	almozulo	bir dilenci	a beggar	grupo	alternativoj	prononco
level	maĉi	çiğnemek, çiğnemek	to masticate, to chew	grupo	alternativoj	prononco
level	virto	bir erdem	a virtue	grupo	alternativoj	prononco
level	turmenti	eziyet etmek, eziyet etmek	to torment, to torture	grupo	alternativoj	prononco
level	anonctabulo	bir duyuru panosu	a notice board	grupo	alternativoj	prononco
level	minus	eksi	minus	grupo	alternativoj	prononco
level	boji	havlamak	to bark	grupo	alternativoj	prononco
level	atestilo, atestaĵo	bir sertifika, bir tasdik	a certificate, an attestation	grupo	alternativoj	prononco
level	fendo	bir yarık, bir yarık, bir çatlak	a split, a slot, a crack	grupo	alternativoj	prononco
level	almozo	sadaka, sadaka	alms, charity	grupo	alternativoj	prononco
level	havigi	sağlamak, elde etmek, temin etmek	to provide with, to get for, to procure	grupo	alternativoj	prononco
level	aŭtografio	bir imza, otobiyografi (=aŭtobiografio)	an autography, autobiography (=aŭtobiografio)	grupo	alternativoj	prononco
level	suspekti	şüphelenmek	to suspect	grupo	alternativoj	prononco
level	trezoro	bir hazine	a treasure	grupo	alternativoj	prononco
level	stango	bir çubuk, bir direk, bir çubuk	a rod, a pole, a bar	grupo	alternativoj	prononco
level	balailo	bir süpürge, bir süpürge	a broom, a sweeper	grupo	alternativoj	prononco
level	rekompenco	bir tazminat, bir ödül	a compensation, a reward	grupo	alternativoj	prononco
level	kopio	kopya	a copy	grupo	alternativoj	prononco
level	domego	bir villa, bir konak, büyük bir ev, bir bina	a villa, a mansion, a big house, a building	grupo	alternativoj	prononco
level	pasko	Paskalya	Easter	grupo	alternativoj	prononco
level	Peruo	Peru	Peru	grupo	alternativoj	prononco
level	menso	akıl	mind	grupo	alternativoj	prononco
level	eleganta	zarif	elegant	grupo	alternativoj	prononco
level	ekvadoro	Ekvador	Ecuador	grupo	alternativoj	prononco
level	barbirejo	kuaför salonu, berber dükkanı	a hairdressing salon, a barbor shop	grupo	alternativoj	prononco
level	bubo	bir düzenbaz, bir velet, bir kestane	a knave, a brat, an urchin	grupo	alternativoj	prononco
level	gvineo	Gine	Guinea	grupo	alternativoj	prononco
level	civilizi	uygarlaştırmak	to civilize	grupo	alternativoj	prononco
level	insulti	hakaret etmek	to insult	grupo	alternativoj	prononco
level	komisiono	bir komisyon, bir komite	a commission, a comittee	grupo	alternativoj	prononco
level	colo	bir inç	an inch	grupo	alternativoj	prononco
level	admoni	öğüt vermek, öğüt vermek, öğüt vermek, kınamak	to admonish, to exhort, to advice, to censure	grupo	alternativoj	prononco
level	bildkadro	Bir resim çerçevesi	a picture frame	grupo	alternativoj	prononco
level	serena	sakin, sakin, sorunsuz	serene, calm, untroubled	grupo	alternativoj	prononco
level	nervo	bir sinir	a nerve	grupo	alternativoj	prononco
level	kuglo	bir kurşun	a bullet	grupo	alternativoj	prononco
level	pilgrimi	hacca gitmek	to go on a pilgrimage	grupo	alternativoj	prononco
level	kaso	para kutusu, çanta, kumbara, sandık	a cash box, a purse, a money box, coffer	grupo	alternativoj	prononco
level	penti	tövbe etmek	to repent	grupo	alternativoj	prononco
level	libano	Lübnan	Lebanon	grupo	alternativoj	prononco
level	barelo	bir varil	a barrel	grupo	alternativoj	prononco
level	botaniko	botanik	botany	grupo	alternativoj	prononco
level	merkato	bir pazar	a market	grupo	alternativoj	prononco
level	koncerto	Bir konser	a concert	grupo	alternativoj	prononco
level	projekto	bir proje	a project	grupo	alternativoj	prononco
level	komplimento	iltifat	a compliment	grupo	alternativoj	prononco
level	cirklo	bir daire, bir disk	a circle, a disk	grupo	alternativoj	prononco
level	konjekti	tahminde bulunmak, tahminde bulunmak	to make a conjecture, to guess	grupo	alternativoj	prononco
level	ĵudo	judo	judo	grupo	alternativoj	prononco
level	teksto	metin, metin, şarkı sözü	text, a text, a lyric	grupo	alternativoj	prononco
level	konkuri	yarışmak, mücadele etmek	to compete, to contend	grupo	alternativoj	prononco
level	rezervo	rezerv	a reserve	grupo	alternativoj	prononco
level	kabineto	bir dolap	a cabinet	grupo	alternativoj	prononco
level	marĉo	bataklık, bataklık	a marsh, a swamp	grupo	alternativoj	prononco
level	advokato	avukat, avukat, avukat	a barrister, a lawyer, an advocate	grupo	alternativoj	prononco
level	ceramiko	seramik, çömlek	ceramics, pottery	grupo	alternativoj	prononco
level	histerio	histeri, heyecan	hysteria, excitement	grupo	alternativoj	prononco
