A.it content.tsv
Level	Esperanto	it	en-us	Grupo	Alternativoj	Pronoco
level	rapidege kun la libroj en la mano	molto velocemente con i libri in mano	very quickly with the books in hand	grupo	alternativoj	prononco
level	poste li kuris kaj saltis	più tardi corse e saltò	later he ran and jumped	grupo	alternativoj	prononco
level	li kuris kaj saltis	correva e saltava	he ran and jumped	grupo	alternativoj	prononco
level	laŭ la strato	lungo la strada	along the street	grupo	alternativoj	prononco
level	la homoj rigardis lin	la gente lo guardava	the people looked at him	grupo	alternativoj	prononco
level	rigardis lin kaj diris	lo guardò e disse	looked at him and said	grupo	alternativoj	prononco
level	saĝa kaj malsaĝa	saggio e stolto	wise and foolish	grupo	alternativoj	prononco
level	kia malsaĝa knabo!	che ragazzo stupido!	what a foolish boy!	grupo	alternativoj	prononco
level	estis antaŭ lernejo	era davanti ad una scuola	was in front of a school	grupo	alternativoj	prononco
level	baldaŭ	Presto	soon	grupo	alternativoj	prononco
level	li estis antaŭ ~	era di fronte a ~	he was in front of ~	grupo	alternativoj	prononco
level	iri kaj eniri	andare ed entrare	to go and to enter	grupo	alternativoj	prononco
level	li volis eniri	voleva entrare	he wanted to enter	grupo	alternativoj	prononco
level	eniri la lernejon	per entrare nella scuola	to enter into the school	grupo	alternativoj	prononco
level	sed tamen	ma comunque	but however	grupo	alternativoj	prononco
level	sed li ne povis	ma non poteva	but he couldn't	grupo	alternativoj	prononco
level	fermi kaj fermita	chiudere e chiudere	to close and closed	grupo	alternativoj	prononco
level	ĝi estis fermita	era chiuso	it was closed	grupo	alternativoj	prononco
level	nek ~ nek ~	né ~ né ~	neither ~ nor ~	grupo	alternativoj	prononco
level	nek instruisto nek gelernantoj	né un insegnante né studenti e studentesse	neither a teacher nor male-and-female students	grupo	alternativoj	prononco
level	vidis nek instruiston nek gelernantojn	non ha visto né un insegnante né studenti	saw neither a teacher nor students	grupo	alternativoj	prononco
level	sidi, eksidi	sedersi, sedersi	to sit, to get sitted	grupo	alternativoj	prononco
level	eksidis	mi sono seduto (mi ero seduto)	got seated (had seated)	grupo	alternativoj	prononco
level	li eksidis	si è seduto	he got seated	grupo	alternativoj	prononco
level	kaj pensis	e pensiero	and thought	grupo	alternativoj	prononco
level	kio okazis?	cos'è successo?	what did happen?	grupo	alternativoj	prononco
level	diable	all'orribile (come un diavolo)	to the awful (like a devil)	grupo	alternativoj	prononco
level	damne	dannazione	dam it	grupo	alternativoj	prononco
level	memoras	ricorda	remembers	grupo	alternativoj	prononco
level	nun mi memoras	ora ricordo	now I remember	grupo	alternativoj	prononco
level	dimanĉo	Domenica	Sunday	grupo	alternativoj	prononco
level	hodiaŭ estas ~	oggi è ~	today is ~	grupo	alternativoj	prononco
level	hodiaŭ estas dimanĉo	Oggi è domenica	today is Sunday	grupo	alternativoj	prononco
level	dormi kaj ekdormi	dormire e addormentarsi	to sleep and to get into sleep	grupo	alternativoj	prononco
level	suno kaj luno	un sole e una luna	a sun and a moon	grupo	alternativoj	prononco
level	subita kaj subite	improvviso e improvviso	sudden and suddenly	grupo	alternativoj	prononco
level	ek!	spento! (iniziare)	off! (to start)	grupo	alternativoj	prononco
level	salti kaj eksaltis	saltare e saltare	to jump and jumped 	grupo	alternativoj	prononco
level	ĉiam frua	sempre presto	always early	grupo	alternativoj	prononco
level	hodiaŭ metis kaj kuris	oggi messo e scappato	today put and ran	grupo	alternativoj	prononco
level	aĵo, ne aĝo	una cosa non è l'età	a thing not age	grupo	alternativoj	prononco
level	kuris laŭ homoj saĝaj	correva accanto a persone sagge	ran along wise people	grupo	alternativoj	prononco
level	laŭeble baldaŭ	appena possibile	soon as possible	grupo	alternativoj	prononco
level	kia knabo, kia knabino	che ragazzo, che ragazza	what a boy, what a girl	grupo	alternativoj	prononco
level	nek pensita nek memorita	né pensato né memorizzato	neither thought nor memorized	grupo	alternativoj	prononco
level	diablo atendis akvon dimanĉe	domenica un diavolo aspettava l'acqua	a devil waited for water on Sunday	grupo	alternativoj	prononco
level	tiom malgranda momento	un momento così piccolo	such a small moment	grupo	alternativoj	prononco
level	eĉ tiom malgranda momento valoras	anche un momento così piccolo vale la pena	even such a small moment is worthwhile	grupo	alternativoj	prononco
level	kriis for ĝis nokto	pianto fino a notte	cried away until night	grupo	alternativoj	prononco
level	lasis la poŝton de la mano	togli la posta dalla mano	put away the mailpost from the hand	grupo	alternativoj	prononco
level	ridis mem lasante la poŝton	rise da solo, mettendo via la posta	laughed by oneself, putting away the mailpost	grupo	alternativoj	prononco
level	nek li nek ŝi ridis	né lui né lei risero	neither he nor she laughed	grupo	alternativoj	prononco
level	ŝi nek ridis nek respondis	lei non rise né rispose	she neither laughed nor answered	grupo	alternativoj	prononco
level	li nek sidas nek rigardas	non si siede né guarda	he neither sits nor watches	grupo	alternativoj	prononco
level	neniam mi vidis	non ho mai visto	I have never seen	grupo	alternativoj	prononco
level	mi neniam diros al iu	Non lo dirò mai a nessuno	I will never tell anyone	grupo	alternativoj	prononco
level	diru al neniu	non dirlo a nessuno	tell no one	grupo	alternativoj	prononco
level	mi neniam diros	Non lo dirò mai	I will never say	grupo	alternativoj	prononco
level	mem	a se stesso (da solo)	to oneself (by oneself)	grupo	alternativoj	prononco
level	mi mem faris	l'ho fatto da solo	I did it myself	grupo	alternativoj	prononco
level	faris tion	l'ha fatto (ce l'ha fatta)	did it (made it)	grupo	alternativoj	prononco
level	mem faris tion	fatto da soli (fatto da soli)	did it oneself (made it oneself)	grupo	alternativoj	prononco
level	ĝis la revido, ĝis revido	ci vediamo (di nuovo), ci vediamo (di nuovo)	see you (again), see you (again)	grupo	alternativoj	prononco
level	ĝis!	Fino a! (arrivederci!)	until! (goodbye!)	grupo	alternativoj	prononco
level	ekparoli	per iniziare a parlare	to start talking	grupo	alternativoj	prononco
level	ekparolis, komencis paroli finfine	cominciò a dire, finalmente cominciò a parlare	started saying, began to speak at last	grupo	alternativoj	prononco
level	trinkis rapidege	bevuto molto velocemente	drank very fast	grupo	alternativoj	prononco
level	trinkis matenan trinkaĵon	ho bevuto un drink mattutino	had a morning drink	grupo	alternativoj	prononco
level	por frue veni	venire presto	to come early	grupo	alternativoj	prononco
level	veni al la lernejo	venire a scuola	to come to school	grupo	alternativoj	prononco
level	frue veni al ~	venire presto a ~	to come early to ~	grupo	alternativoj	prononco
level	ne aŭdis novaĵon	non ho sentito notizie	didn't hear news	grupo	alternativoj	prononco
level	ankoraŭ ne aŭdis	non ho ancora sentito	didn't hear yet	grupo	alternativoj	prononco
level	mi ankoraŭ ne aŭdis	Non ho ancora sentito	I didn't hear yet	grupo	alternativoj	prononco
level	en tiu momento	in quel momento	in that moment	grupo	alternativoj	prononco
level	en tiu momento li ekkriis	in quel momento pianse	in that moment he cried	grupo	alternativoj	prononco
level	knabo, kiu ne amas	un ragazzo che non ama	a boy, who does not love	grupo	alternativoj	prononco
level	geknaboj	ragazzi e ragazze	boys and girls	grupo	alternativoj	prononco
level	aliaj geknaboj	altri ragazzi e ragazze	other boys and girls	grupo	alternativoj	prononco
level	ne amas aliajn geknabojn	non ama gli altri ragazzi e ragazze	does not love other boys and girls	grupo	alternativoj	prononco
level	nek amikojn, nek amikinojn	né amici né amiche	neither friends nor girl friends	grupo	alternativoj	prononco
level	havas nek monon, nek tempon	non ha né soldi né tempo	does not have neither money nor time	grupo	alternativoj	prononco
level	kiu havis la libron?	chi aveva il libro?	who had the book?	grupo	alternativoj	prononco
level	la libron, kiun vi atendis	il libro che aspettavi	the book which you waited	grupo	alternativoj	prononco
level	tiun, kiun vi atendis pli ol du jarojn	quello che aspettavi da più di 2 anni	that, which you waited for more than 2 years	grupo	alternativoj	prononco
level	ĉu vi volas tion?	lo vuoi?	do you want that?	grupo	alternativoj	prononco
level	ĉu vi volas, ke ~ ?	lo vuoi ~?	do you want that ~ ?	grupo	alternativoj	prononco
level	plej kara	carissimo	dearest	grupo	alternativoj	prononco
level	plej kara foto	foto carissima	dearest photo	grupo	alternativoj	prononco
level	mian plej karan foton	la mia foto più cara	my dearest photo	grupo	alternativoj	prononco
level	kie vi aĉetis ~ ?	dove hai comprato ~?	where did you buy ~ ?	grupo	alternativoj	prononco
level	tiu vestaĵo	quell'abbigliamento	that clothing	grupo	alternativoj	prononco
level	tiun vestaĵon	quell'abbigliamento (obiettivo)	that clothing (objective)	grupo	alternativoj	prononco
level	aĉetis tiun vestaĵon	comprato quel vestito	bought that outfit	grupo	alternativoj	prononco
level	vi iros tien	andrai lì	you will go there	grupo	alternativoj	prononco
level	kien vi iros?	dove stai andando?	where are you going to?	grupo	alternativoj	prononco
level	suna tago	giorno soleggiato	sunny day	grupo	alternativoj	prononco
level	estos suna tago	sarà una giornata soleggiata	it will be a sunny day	grupo	alternativoj	prononco
level	se estos suna tago	se sarà una giornata soleggiata	if it will be a sunny day	grupo	alternativoj	prononco
level	via frato jam ekiris	tuo fratello ha già iniziato	your brother has already started	grupo	alternativoj	prononco
level	ĉu via frato jam ekiris?	tuo fratello ha già iniziato?	has your brother started yet?	grupo	alternativoj	prononco
level	kie estas la akvo?	dov'è l'acqua	where is the water	grupo	alternativoj	prononco
level	kunporti la akvon	per portare l'acqua	to bring the water	grupo	alternativoj	prononco
level	vi mem kunportis	tu stesso hai portato	you yourself brought	grupo	alternativoj	prononco
level	la akvon, kion vi mem kunportis	l'acqua che tu stesso hai portato	the water, that you yourself brought	grupo	alternativoj	prononco
level	estis tre trankvila	era molto tranquillo	was very quiet	grupo	alternativoj	prononco
level	hodiaŭ mia patrino estis ~	oggi mia madre era ~	today my mother was ~	grupo	alternativoj	prononco
level	mi venis el ~	Vengo da ~	I came from ~	grupo	alternativoj	prononco
level	el la lernejo	fuori dalla scuola	out of the school	grupo	alternativoj	prononco
level	raportis al ~	riferito a ~	reported to ~	grupo	alternativoj	prononco
level	kaj raportis al ŝi	e glielo riferii	and reported to her	grupo	alternativoj	prononco
level	raportis, ke ~	ha riferito che ~	reported that ~	grupo	alternativoj	prononco
level	raportis, ke mi ricevos	riferito che riceverò	reported that I will receive	grupo	alternativoj	prononco
level	mi ricevos malbonan noton	Prenderò un brutto voto	I will get a bad grade	grupo	alternativoj	prononco
level	ŝi diris, ke ~	ha detto che ~	she said that ~	grupo	alternativoj	prononco
level	vi devas laborigi ~	devi far funzionare ~	you have to make ~ work	grupo	alternativoj	prononco
level	pli multe	Di più	more	grupo	alternativoj	prononco
level	pli multe laborigi	per far lavorare di più	to make work more	grupo	alternativoj	prononco
level	laborigi vian kapon	per far funzionare la testa	to make your head work	grupo	alternativoj	prononco
level	kiom da malbonaj notoj	quanti brutti voti	how many bad grades	grupo	alternativoj	prononco
level	vi havas tiom da malbonaj notoj	hai così tanti brutti voti	you have so many bad grades	grupo	alternativoj	prononco
level	estis malĝoja	era triste	was sad	grupo	alternativoj	prononco
level	en vian ĉambron	nella tua stanza	into your room	grupo	alternativoj	prononco
level	iru en vian ĉambron	vai nella tua stanza	go into your room	grupo	alternativoj	prononco
level	iru kaj lernu	vai e impara	go and learn	grupo	alternativoj	prononco
level	mi sidis	Mi sono seduto	I sat	grupo	alternativoj	prononco
level	en mia ĉambro	nella mia stanza	in my room	grupo	alternativoj	prononco
level	sidis en mia ĉambro	seduto nella mia stanza	sat in my room	grupo	alternativoj	prononco
level	nek lerni nek legi	né imparare né leggere	neither learn nor read	grupo	alternativoj	prononco
level	sed mi povis nek lerni nek legi	ma non potevo né imparare né leggere	but I could neither learn nor read	grupo	alternativoj	prononco
level	miaj pensoj	i miei pensieri	my thoughts	grupo	alternativoj	prononco
level	ĉe ludo	ad una partita	at a game	grupo	alternativoj	prononco
level	ludo kun miaj amikoj	gioco con i miei amici	game with my friends	grupo	alternativoj	prononco
level	ĉe sporto	allo sport	at sport	grupo	alternativoj	prononco
level	al mi mem	a me stesso	to myself	grupo	alternativoj	prononco
level	diris al mi mem	mi sono detto	said to myself	grupo	alternativoj	prononco
level	tiom malsaĝa	così stupido	so stupid	grupo	alternativoj	prononco
level	ĉu mi estas tiom malsaĝa?	sono così stupido?	am I that stupid?	grupo	alternativoj	prononco
level	kvankam mi lernis multe	anche se ho imparato molto	although I learned a lot	grupo	alternativoj	prononco
level	la patrino eniris	entrò la madre	the mother entered	grupo	alternativoj	prononco
level	miaj vortoj	le mie parole	my words	grupo	alternativoj	prononco
level	kaj aŭdis miajn vortojn	e ho ascoltato le mie parole	and heard my words	grupo	alternativoj	prononco
level	ŝi tuj respondis	rispose immediatamente	she answered immediately	grupo	alternativoj	prononco
level	ne, mia kara	no mio caro	no, my dear	grupo	alternativoj	prononco
level	vi ne estas malsaĝa	non sei stupido	you are not stupid	grupo	alternativoj	prononco
level	la problemo estas, ke ~	il problema è che ~	the problem is that ~	grupo	alternativoj	prononco
level	ke vi devas lerni	che devi imparare	that you must learn	grupo	alternativoj	prononco
level	devas lerni multe pli	deve imparare molto di più	must learn much more	grupo	alternativoj	prononco
level	tiam vi ne havos	allora non avrai	then you will not have	grupo	alternativoj	prononco
level	malbonaj notoj	brutti voti	bad grades	grupo	alternativoj	prononco
level	havos nur malbonajn notojn	avrà solo brutti voti	will have only bad grades	grupo	alternativoj	prononco
level	ankaŭ nun	anche adesso	also now	grupo	alternativoj	prononco
level	mi ne havas ilin	Non li ho	I don't have them	grupo	alternativoj	prononco
level	mi havas bonan noton	Ho un buon voto	I have a good grade	grupo	alternativoj	prononco
level	pri muziko	sulla musica	about music	grupo	alternativoj	prononco
level	bonan noton pri muziko	una buona nota sulla musica	a good note on music	grupo	alternativoj	prononco
level	la patrino subite ekridis	la madre scoppiò improvvisamente a ridere	the mother suddenly burst out laughing	grupo	alternativoj	prononco
level	tio plibeligis ~	che ha abbellito ~	that beautified ~	grupo	alternativoj	prononco
level	mian tagon	mio giorno	my day	grupo	alternativoj	prononco
level	plibeligis mian tagon	mi ha rallegrato la giornata	made my day	grupo	alternativoj	prononco
level	sed tamen restis	ma è rimasto comunque	but still remained	grupo	alternativoj	prononco
level	sed la problemo tamen restis	ma il problema rimaneva ancora	but the problem still remained	grupo	alternativoj	prononco
level	kilogramo da ~	un chilogrammo di ~	a kilogram of ~	grupo	alternativoj	prononco
level	kilogramo da sukero	un chilogrammo di zucchero	a kilogram of sugar	grupo	alternativoj	prononco
level	glaso da ~	un bicchiere di ~	a glass of ~	grupo	alternativoj	prononco
level	glaso da akvo	un bicchiere d'acqua	a glass of water	grupo	alternativoj	prononco
level	multe da ~	un sacco di ~	a lot of ~	grupo	alternativoj	prononco
level	multe da ideoj	molte idee	lots of ideas	grupo	alternativoj	prononco
level	deteni sin	trattenere	to hold back	grupo	alternativoj	prononco
level	ordigis ĉion	sistemato tutto	sorted everything out	grupo	alternativoj	prononco
level	transdonis al li	consegnato a lui	handed over to him	grupo	alternativoj	prononco
level	mi petas	sto chiedendo	I'm asking	grupo	alternativoj	prononco
level	glason da kafo	un bicchiere di caffè	a glass of coffee	grupo	alternativoj	prononco
level	kaj iom da akvo	e un po' d'acqua	and some water	grupo	alternativoj	prononco
level	mi petas glason da kafo	Vorrei un bicchiere di caffè	I would like a glass of coffee	grupo	alternativoj	prononco
level	mi petas tason da teo	Vorrei una tazza di tè	I would like a cup of tea	grupo	alternativoj	prononco
level	doloris lin	fagli male	hurt him	grupo	alternativoj	prononco
level	la kapo doloris lin	gli faceva male la testa	his head hurt	grupo	alternativoj	prononco
level	li malsaniĝis	si ammalò	he fell ill	grupo	alternativoj	prononco
level	ŝatas esti bela	piace essere bello	likes to be beautiful	grupo	alternativoj	prononco
level	ŝi beligis sian vizaĝon	ha abbellito il suo viso	she beautified her face	grupo	alternativoj	prononco
level	la knabo ŝatas esti bela	al ragazzo piace essere carino	the boy likes to be pretty	grupo	alternativoj	prononco
level	pro tio ŝi beligis ĝin	quindi l'ha abbellito	therefore she beautified it	grupo	alternativoj	prononco
level	post la tagmanĝo	dopo pranzo	after lunch	grupo	alternativoj	prononco
level	purigi la kuirejon	per pulire la cucina	to clean the kitchen	grupo	alternativoj	prononco
level	kiu purigos la kuirejon?	chi pulirà la cucina?	who will clean the kitchen?	grupo	alternativoj	prononco
level	volas trinki	vuole bere	wants to drink	grupo	alternativoj	prononco
level	kion vi volas trinki?	cosa vuoi bere	what do you want to drink	grupo	alternativoj	prononco
level	trinki teon	bere il tè	to drink tea	grupo	alternativoj	prononco
level	iom da akvo	un po' d'acqua	a little of water	grupo	alternativoj	prononco
level	ĉu vi volas nenion?	non vuoi niente?	do you want nothing?	grupo	alternativoj	prononco
level	tiel subite	così improvvisamente	so suddenly	grupo	alternativoj	prononco
level	kial vi decidis ~ ?	perché hai deciso ~?	why did you decide ~ ?	grupo	alternativoj	prononco
level	kial vi tiel subite decidis ~ ?	perché hai deciso ~ così all'improvviso?	why did you decide ~ so suddenly?	grupo	alternativoj	prononco
level	via ĉambro	la vostra stanza	your room	grupo	alternativoj	prononco
level	via ĉambreto	la tua stanzetta	your little room	grupo	alternativoj	prononco
level	vian ĉambreton	nella tua stanzetta	to your little room	grupo	alternativoj	prononco
level	renovigi vian ĉambreton	per rinnovare la tua cameretta	to renovate your little room	grupo	alternativoj	prononco
level	decidis renovigi vian ĉambreton	hai deciso di rinnovare la tua cameretta	decided to renovate your little room	grupo	alternativoj	prononco
level	al kiu	a cui	to whom	grupo	alternativoj	prononco
level	vi donis ~	hai dato ~	you gave ~	grupo	alternativoj	prononco
level	al kiu vi donis ~ ?	a chi hai dato ~?	to whom did you give ~ ?	grupo	alternativoj	prononco
level	puraj glasoj	bicchieri puliti	clean glasses	grupo	alternativoj	prononco
level	vi donis la purajn glasojn	hai dato i bicchieri puliti	you gave the clean glasses	grupo	alternativoj	prononco
level	la puraj glasoj por la vino	i bicchieri puliti per il vino	the clean glasses for the wine	grupo	alternativoj	prononco
level	kontraŭ kiu	contro chi	against whom	grupo	alternativoj	prononco
level	via sportklubo	la tua società sportiva	your sports club	grupo	alternativoj	prononco
level	ludas kontraŭ ~	gioca contro ~	plays against ~	grupo	alternativoj	prononco
level	antaŭ du semajnoj	due settimane fa	two weeks ago	grupo	alternativoj	prononco
level	kontraŭ kiu via sportklubo ludis?	contro chi ha giocato la tua società sportiva?	who did your sports club play against?	grupo	alternativoj	prononco
level	ĉu vi vidas ~ ?	vedi ~?	do you see ~ ?	grupo	alternativoj	prononco
level	ĉu vi ofte vidas ~ ?	vedi spesso ~ ?	do you often see ~ ?	grupo	alternativoj	prononco
level	ofte vidas la policiston	vedo spesso il poliziotto	often see the policeman	grupo	alternativoj	prononco
level	tiu, kiu loĝas en ~	colui che vive in ~	the one who lives in ~	grupo	alternativoj	prononco
level	loĝas en la loĝejo	vive nel luogo di alloggio	lives in the lodging place	grupo	alternativoj	prononco
level	la loĝejo super vi	la dimora sopra di te	the dwelling place above you	grupo	alternativoj	prononco
level	vidas la policiston, kiu loĝas en ~	vede l'ufficiale di polizia che vive in ~	sees the police officer who lives in ~	grupo	alternativoj	prononco
level	plano pri veturado	piano di guida	driving plan	grupo	alternativoj	prononco
level	volis vojaĝi	voleva viaggiare	wanted to travel	grupo	alternativoj	prononco
level	vojaĝi al alia lando	viaggiare in un altro paese	to travel to another country	grupo	alternativoj	prononco
level	en libertempo	nel tempo libero	in free time	grupo	alternativoj	prononco
level	ili decidis iri	hanno deciso di andare	they decided to go	grupo	alternativoj	prononco
level	decidis iri al Italio	ha deciso di andare in Italia	decided to go to Italy	grupo	alternativoj	prononco
level	malnovaj urboj	vecchie città	old cities	grupo	alternativoj	prononco
level	lando kun malnovaj urboj	un paese con città antiche	a country with old cities	grupo	alternativoj	prononco
level	aliaj belaĵoj	altre bellezze	other beauties	grupo	alternativoj	prononco
level	kaj aliaj belaĵoj	e altre bellezze	and other beauties	grupo	alternativoj	prononco
level	bela lando kun malnovaj urboj kaj aliaj belaĵoj	un bellissimo paese con città antiche e altre bellezze	a beautiful country with old cities and other beauties	grupo	alternativoj	prononco
level	ili estis feliĉaj	loro erano felici	they were happy	grupo	alternativoj	prononco
level	kie estas ~ ?	dov'è ~?	where is ~ ?	grupo	alternativoj	prononco
level	kie estas mia vestaĵo?	dove sono i miei vestiti	where are my clothes	grupo	alternativoj	prononco
level	ŝi demandis ~	ha chiesto ~	she asked ~	grupo	alternativoj	prononco
level	ni ne forgesu kunporti ~	non dimentichiamoci di portare ~	let's not forget to bring ~	grupo	alternativoj	prononco
level	kunporti la libron	per portare il libro con te	to take the book with you	grupo	alternativoj	prononco
level	libro por lerni Esperanton	un libro per imparare l'esperanto	a book to learn Esperanto	grupo	alternativoj	prononco
level	kunporti libron por lerni	portare con sé un libro per imparare	to carry a book to learn	grupo	alternativoj	prononco
level	ni povas komenci ~	possiamo iniziare ~	we can start ~	grupo	alternativoj	prononco
level	en la vagonaro	nel treno	in the train	grupo	alternativoj	prononco
level	jam en la vagonaro	già in treno	already in the train	grupo	alternativoj	prononco
level	ni nenion faros	non faremo nulla	we won't do anything	grupo	alternativoj	prononco
level	per aŭto	in macchina	by car	grupo	alternativoj	prononco
level	ni veturos per ~	guideremo da ~	we will drive by ~	grupo	alternativoj	prononco
level	veturos per aŭto	guiderà una macchina	will drive a car	grupo	alternativoj	prononco
level	mi havas sekreton	ho un segreto	I have a secret	grupo	alternativoj	prononco
level	mia riĉa onklo	il mio ricco zio	my rich uncle	grupo	alternativoj	prononco
level	mia deziro	il mio desiderio	my wish	grupo	alternativoj	prononco
level	plenumis mian deziron	esaudito il mio desiderio	fulfilled my wish	grupo	alternativoj	prononco
level	donis al ni	ci ha dato	gave us	grupo	alternativoj	prononco
level	sian aŭton	la sua macchina	his car	grupo	alternativoj	prononco
level	kaj donis al ni sian aŭton	e ci ha dato la sua macchina	and gave us his car	grupo	alternativoj	prononco
level	por uzo	per uso	for use	grupo	alternativoj	prononco
level	ĝi staras antaŭ ~	sta davanti a ~	it stands before ~	grupo	alternativoj	prononco
level	staras antaŭ la domo	sta davanti alla casa	stands in front of the house	grupo	alternativoj	prononco
level	mi devas diri ~	Devo dire ~	I have to say ~	grupo	alternativoj	prononco
level	nenion diru	non dire niente	don't say anything	grupo	alternativoj	prononco
level	ni eksidu	sediamoci	let's sit down	grupo	alternativoj	prononco
level	eksidu en la aŭton	sali in macchina	get in the car	grupo	alternativoj	prononco
level	veturi al ~	guidare fino a ~	to drive to ~	grupo	alternativoj	prononco
level	kaj veturu al Italio	e guidare in Italia	and drive to Italy	grupo	alternativoj	prononco
level	sidis en la aŭto	seduto in macchina	sat in the car	grupo	alternativoj	prononco
level	ankaŭ la vestaĵoj	anche i vestiti	also the clothes	grupo	alternativoj	prononco
level	~ estis en la aŭto	~ era in macchina	~ was in the car	grupo	alternativoj	prononco
level	ankoraŭ sidadis kaj atendis	sedevo ancora e aspettavo	still sat and waited	grupo	alternativoj	prononco
level	sed li atendis	ma aspettò	but he waited	grupo	alternativoj	prononco
level	kial ni ne ~ ?	perché non ~?	why don't we ~ ?	grupo	alternativoj	prononco
level	kial ni ne ekveturas?	perché non iniziamo a guidare?	why don't we start driving?	grupo	alternativoj	prononco
level	ankaŭ mi havas ~	Anch'io ho ~	I have ~ too	grupo	alternativoj	prononco
level	veturigus la aŭton	guiderebbe la macchina	would drive the car	grupo	alternativoj	prononco
level	sed mi ne scias ~	ma non lo so ~	but I don't know ~	grupo	alternativoj	prononco
level	mi neniam lernis tion	Non l'ho mai imparato	I never learned that	grupo	alternativoj	prononco
level	mi kredus ~	Ci crederei ~	I would believe ~	grupo	alternativoj	prononco
level	se mi estus sana	se fossi sano	if I were healthy	grupo	alternativoj	prononco
level	mi estus tre feliĉa	Sarei molto felice	I would be very happy	grupo	alternativoj	prononco
level	kvazaŭ vi estus riĉulo	come se fossi ricco	as if you were rich	grupo	alternativoj	prononco
level	vi sidas tie kvazaŭ vi estus riĉulo	ti siedi lì come se fossi un uomo ricco	you sit there as if you were a rich man	grupo	alternativoj	prononco
level	kvazaŭa lernejo	presunta scuola	alleged school	grupo	alternativoj	prononco
level	kvazaŭ riĉulo	come un uomo ricco	like a rich man	grupo	alternativoj	prononco
level	vi sidas tie kvazaŭ riĉulo	ti siedi lì come un uomo ricco	you sit there like a rich man	grupo	alternativoj	prononco
level	tiom da mono	così tanti soldi	so much money	grupo	alternativoj	prononco
level	tiom da mono kiom da ideoj	tanti soldi quante idee	as much money as ideas	grupo	alternativoj	prononco
level	se mi havus tiom da mono	se avessi così tanti soldi	if I had that much money	grupo	alternativoj	prononco
level	mi vojaĝadus	vorrei viaggiare	I would travel	grupo	alternativoj	prononco
level	ĉirkaŭ la mondo	Intorno al mondo	around the world	grupo	alternativoj	prononco
level	en ĉiu vortaro	in ogni dizionario	in every dictionary	grupo	alternativoj	prononco
level	mankas io	manca qualcosa	something is missing	grupo	alternativoj	prononco
level	mankas kelkaj vortoj	mancano alcune parole	some words are missing	grupo	alternativoj	prononco
level	homo, kiu longe parolis	un uomo che ha parlato a lungo	a man who spoke at length	grupo	alternativoj	prononco
level	ĉe la manĝotablo	al tavolo da pranzo	at the dining table	grupo	alternativoj	prononco
level	homo, kiu rakontas, restos malsata	una persona che racconta rimarrà affamata	a person who tells will remain hungry	grupo	alternativoj	prononco
level	rakontadas ĉe la manĝo tablo	continua a raccontare a tavola	keeps telling at the dining table	grupo	alternativoj	prononco
level	li devis atenti ~	doveva prestare attenzione a ~	he had to pay attention to ~	grupo	alternativoj	prononco
level	ne rajtis ~	non è stato permesso di ~	was not allowed to ~	grupo	alternativoj	prononco
level	rajtis resti	gli fu permesso di restare	was allowed to stay	grupo	alternativoj	prononco
level	ne rajtis longe resti	non gli era permesso restare a lungo	was not allowed to stay long	grupo	alternativoj	prononco
level	resti ekstere en pluvo	stare fuori sotto la pioggia	to stay out in the rain	grupo	alternativoj	prononco
level	tial li malvarmumis	ecco perché ha preso il raffreddore	that's why he caught a cold	grupo	alternativoj	prononco
level	li havas sian klaran ideon	ha le sue idee chiare	he has his own clear idea	grupo	alternativoj	prononco
level	sed li kredos ĉion	ma crederà a tutto	but he will believe everything	grupo	alternativoj	prononco
level	ĉion, kion vi diros	qualsiasi cosa tu dica	whatever you say	grupo	alternativoj	prononco
level	kvazaŭ vi estus lia edzino	come se fossi sua moglie	as if you were his wife	grupo	alternativoj	prononco
level	viaj gepatroj	i tuoi genitori	your parents	grupo	alternativoj	prononco
level	ĝojigi viajn gepatrojn	per rendere felici i tuoi genitori	to make your parents happy	grupo	alternativoj	prononco
level	kio povus ĝojigi ~ ?	cosa potrebbe piacere ~ ?	what could please ~ ?	grupo	alternativoj	prononco
level	kio povus plej ĝojigi viajn gepatrojn?	cosa potrebbe rendere i tuoi genitori più felici?	what could make your parents the most happy?	grupo	alternativoj	prononco
level	post la lernado	dopo l'apprendimento	after the learning	grupo	alternativoj	prononco
level	almenaŭ post la lernado	almeno dopo l'apprendimento	at least after the learning	grupo	alternativoj	prononco
level	en la urbocentron	nel centro della città	into the city center	grupo	alternativoj	prononco
level	se vi irus kun mi	se verresti con me	if you would go with me	grupo	alternativoj	prononco
level	se vi irus kun mi en la urbocentron	se potessi venire in centro con me	if you would go downtown with me	grupo	alternativoj	prononco
level	kien vi dezirus vojaĝi?	dove ti piacerebbe viaggiare?	where would you like to travel?	grupo	alternativoj	prononco
level	se vi havus ~	se avessi ~	if you had ~	grupo	alternativoj	prononco
level	sufiĉe da mono	abbastanza soldi	enough money	grupo	alternativoj	prononco
level	se vi havus sufiĉe da mono kaj tempo	se avessi abbastanza soldi e tempo	if you had enough money and temp	grupo	alternativoj	prononco
level	ĉu vi planas ~ ?	hai intenzione di ~?	are you planning to ~ ?	grupo	alternativoj	prononco
level	planas veturi al Parizo	ha intenzione di recarsi a Parigi	plans to travel to Paris	grupo	alternativoj	prononco
level	veturi per aŭto	guidare con un axuto	to drive with an axuto	grupo	alternativoj	prononco
