A.es content.tsv
Level	Esperanto	es	en-us	Grupo	Alternativoj	Pronoco
level	poste li kuris kaj saltis	después corrió y saltó	later he ran and jumped	grupo	alternativoj	prononco
level	li kuris kaj saltis	corrió y saltó	he ran and jumped	grupo	alternativoj	prononco
level	laŭ la strato	por la calle	along the street	grupo	alternativoj	prononco
level	la homoj rigardis lin	la gente lo miraba	the people looked at him	grupo	alternativoj	prononco
level	rigardis lin kaj diris	lo miro y dijo	looked at him and said	grupo	alternativoj	prononco
level	saĝa kaj malsaĝa	sabio y tonto	wise and foolish	grupo	alternativoj	prononco
level	kia malsaĝa knabo!	¡Qué chico tan tonto!	what a foolish boy!	grupo	alternativoj	prononco
level	estis antaŭ lernejo	estaba frente a una escuela	was in front of a school	grupo	alternativoj	prononco
level	baldaŭ	pronto	soon	grupo	alternativoj	prononco
level	li estis antaŭ ~	él estaba frente a ~	he was in front of ~	grupo	alternativoj	prononco
level	iri kaj eniri	ir y entrar	to go and to enter	grupo	alternativoj	prononco
level	li volis eniri	el queria entrar	he wanted to enter	grupo	alternativoj	prononco
level	eniri la lernejon	entrar a la escuela	to enter into the school	grupo	alternativoj	prononco
level	sed tamen	pero sin embargo	but however	grupo	alternativoj	prononco
level	sed li ne povis	pero no pudo	but he couldn't	grupo	alternativoj	prononco
level	fermi kaj fermita	cerrar y cerrar	to close and closed	grupo	alternativoj	prononco
level	ĝi estis fermita	estaba cerrado	it was closed	grupo	alternativoj	prononco
level	nek ~ nek ~	ni ~ ni ~	neither ~ nor ~	grupo	alternativoj	prononco
level	nek instruisto nek gelernantoj	ni profesor ni alumnos y alumnas	neither a teacher nor male-and-female students	grupo	alternativoj	prononco
level	vidis nek instruiston nek gelernantojn	No vi ni a un maestro ni a los estudiantes.	saw neither a teacher nor students	grupo	alternativoj	prononco
level	sidi, eksidi	sentarse, sentarse	to sit, to get sitted	grupo	alternativoj	prononco
level	eksidis	se sentó (se había sentado)	got seated (had seated)	grupo	alternativoj	prononco
level	li eksidis	se sentó	he got seated	grupo	alternativoj	prononco
level	kaj pensis	y pense	and thought	grupo	alternativoj	prononco
level	kio okazis?	¿que paso?	what did happen?	grupo	alternativoj	prononco
level	diable	a lo horrible (como un demonio)	to the awful (like a devil)	grupo	alternativoj	prononco
level	damne	maldita sea	dam it	grupo	alternativoj	prononco
level	memoras	recuerda	remembers	grupo	alternativoj	prononco
level	nun mi memoras	ahora recuerdo	now I remember	grupo	alternativoj	prononco
level	dimanĉo	Domingo	Sunday	grupo	alternativoj	prononco
level	hodiaŭ estas ~	hoy es ~	today is ~	grupo	alternativoj	prononco
level	hodiaŭ estas dimanĉo	Hoy es domingo	today is Sunday	grupo	alternativoj	prononco
level	dormi kaj ekdormi	dormir y quedarme dormido	to sleep and to get into sleep	grupo	alternativoj	prononco
level	suno kaj luno	un sol y una luna	a sun and a moon	grupo	alternativoj	prononco
level	subita kaj subite	repentino y de repente	sudden and suddenly	grupo	alternativoj	prononco
level	ek!	¡apagado! (para comenzar)	off! (to start)	grupo	alternativoj	prononco
level	salti kaj eksaltis	saltar y saltó	to jump and jumped 	grupo	alternativoj	prononco
level	ĉiam frua	siempre temprano	always early	grupo	alternativoj	prononco
level	hodiaŭ metis kaj kuris	hoy puso y corrió	today put and ran	grupo	alternativoj	prononco
level	aĵo, ne aĝo	una cosa que no envejece	a thing not age	grupo	alternativoj	prononco
level	kuris laŭ homoj saĝaj	corrió junto a gente sabia	ran along wise people	grupo	alternativoj	prononco
level	laŭeble baldaŭ	tan pronto como sea posible	soon as possible	grupo	alternativoj	prononco
level	kia knabo, kia knabino	que chico, que chica	what a boy, what a girl	grupo	alternativoj	prononco
level	nek pensita nek memorita	ni pensado ni memorizado	neither thought nor memorized	grupo	alternativoj	prononco
level	diablo atendis akvon dimanĉe	un diablo esperó agua el domingo	a devil waited for water on Sunday	grupo	alternativoj	prononco
level	tiom malgranda momento	un momento tan pequeño	such a small moment	grupo	alternativoj	prononco
level	eĉ tiom malgranda momento valoras	incluso un momento tan pequeño vale la pena	even such a small moment is worthwhile	grupo	alternativoj	prononco
level	kriis for ĝis nokto	lloré hasta la noche	cried away until night	grupo	alternativoj	prononco
level	lasis la poŝton de la mano	guarda el correo de la mano	put away the mailpost from the hand	grupo	alternativoj	prononco
level	ridis mem lasante la poŝton	se rió solo, guardando el correo	laughed by oneself, putting away the mailpost	grupo	alternativoj	prononco
level	nek li nek ŝi ridis	ni él ni ella se rieron	neither he nor she laughed	grupo	alternativoj	prononco
level	ŝi nek ridis nek respondis	ella ni se rió ni respondió	she neither laughed nor answered	grupo	alternativoj	prononco
level	li nek sidas nek rigardas	él ni se sienta ni mira	he neither sits nor watches	grupo	alternativoj	prononco
level	neniam mi vidis	yo nunca he visto	I have never seen	grupo	alternativoj	prononco
level	mi neniam diros al iu	nunca le diré a nadie	I will never tell anyone	grupo	alternativoj	prononco
level	diru al neniu	No se lo digas a nadie	tell no one	grupo	alternativoj	prononco
level	mi neniam diros	nunca diré	I will never say	grupo	alternativoj	prononco
level	mem	a uno mismo (por uno mismo)	to oneself (by oneself)	grupo	alternativoj	prononco
level	mi mem faris	lo hice yo mismo	I did it myself	grupo	alternativoj	prononco
level	faris tion	lo hizo (lo hizo)	did it (made it)	grupo	alternativoj	prononco
level	mem faris tion	lo hizo uno mismo (lo hizo uno mismo)	did it oneself (made it oneself)	grupo	alternativoj	prononco
level	ĝis la revido, ĝis revido	Nos vemos (otra vez), nos vemos (otra vez)	see you (again), see you (again)	grupo	alternativoj	prononco
level	ĝis!	¡hasta! (¡adiós!)	until! (goodbye!)	grupo	alternativoj	prononco
level	ekparoli	para empezar a hablar	to start talking	grupo	alternativoj	prononco
level	ekparolis, komencis paroli finfine	Empezó a decir, empezó a hablar por fin.	started saying, began to speak at last	grupo	alternativoj	prononco
level	trinkis rapidege	bebí muy rápido	drank very fast	grupo	alternativoj	prononco
level	trinkis matenan trinkaĵon	tomé una copa por la mañana	had a morning drink	grupo	alternativoj	prononco
level	por frue veni	llegar temprano	to come early	grupo	alternativoj	prononco
level	veni al la lernejo	venir a la escuela	to come to school	grupo	alternativoj	prononco
level	frue veni al ~	llegar temprano a ~	to come early to ~	grupo	alternativoj	prononco
level	ne aŭdis novaĵon	no escuché noticias	didn't hear news	grupo	alternativoj	prononco
level	ankoraŭ ne aŭdis	no escuché todavía	didn't hear yet	grupo	alternativoj	prononco
level	mi ankoraŭ ne aŭdis	no escuché todavía	I didn't hear yet	grupo	alternativoj	prononco
level	en tiu momento	en ese momento	in that moment	grupo	alternativoj	prononco
level	en tiu momento li ekkriis	en ese momento lloro	in that moment he cried	grupo	alternativoj	prononco
level	knabo, kiu ne amas	un chico que no ama	a boy, who does not love	grupo	alternativoj	prononco
level	geknaboj	niños y niñas	boys and girls	grupo	alternativoj	prononco
level	aliaj geknaboj	otros niños y niñas	other boys and girls	grupo	alternativoj	prononco
level	ne amas aliajn geknabojn	no ama a otros niños y niñas	does not love other boys and girls	grupo	alternativoj	prononco
level	nek amikojn, nek amikinojn	ni amigos ni amigas	neither friends nor girl friends	grupo	alternativoj	prononco
level	havas nek monon, nek tempon	no tiene ni dinero ni tiempo	does not have neither money nor time	grupo	alternativoj	prononco
level	kiu havis la libron?	¿Quién tenía el libro?	who had the book?	grupo	alternativoj	prononco
level	la libron, kiun vi atendis	el libro que esperabas	the book which you waited	grupo	alternativoj	prononco
level	tiun, kiun vi atendis pli ol du jarojn	Eso que esperaste por más de 2 años.	that, which you waited for more than 2 years	grupo	alternativoj	prononco
level	ĉu vi volas tion?	¿Quieres eso?	do you want that?	grupo	alternativoj	prononco
level	ĉu vi volas, ke ~ ?	¿Quieres eso ~?	do you want that ~ ?	grupo	alternativoj	prononco
level	plej kara	querida	dearest	grupo	alternativoj	prononco
level	plej kara foto	querida foto	dearest photo	grupo	alternativoj	prononco
level	mian plej karan foton	mi querida foto	my dearest photo	grupo	alternativoj	prononco
level	kie vi aĉetis ~ ?	¿Dónde compraste ~?	where did you buy ~ ?	grupo	alternativoj	prononco
level	tiu vestaĵo	esa ropa	that clothing	grupo	alternativoj	prononco
level	tiun vestaĵon	esa ropa (objetivo)	that clothing (objective)	grupo	alternativoj	prononco
level	aĉetis tiun vestaĵon	compré ese traje	bought that outfit	grupo	alternativoj	prononco
level	vi iros tien	irás allí	you will go there	grupo	alternativoj	prononco
level	kien vi iros?	¿hacia donde te diriges?	where are you going to?	grupo	alternativoj	prononco
level	suna tago	día soleado	sunny day	grupo	alternativoj	prononco
level	estos suna tago	será un día soleado	it will be a sunny day	grupo	alternativoj	prononco
level	se estos suna tago	si sera un dia soleado	if it will be a sunny day	grupo	alternativoj	prononco
level	via frato jam ekiris	tu hermano ya empezó	your brother has already started	grupo	alternativoj	prononco
level	ĉu via frato jam ekiris?	¿Tu hermano ya empezó?	has your brother started yet?	grupo	alternativoj	prononco
level	kie estas la akvo?	Donde está el agua	where is the water	grupo	alternativoj	prononco
level	kunporti la akvon	para traer el agua	to bring the water	grupo	alternativoj	prononco
level	vi mem kunportis	tu mismo trajiste	you yourself brought	grupo	alternativoj	prononco
level	la akvon, kion vi mem kunportis	el agua, que tu mismo trajiste	the water, that you yourself brought	grupo	alternativoj	prononco
level	estis tre trankvila	estaba muy tranquilo	was very quiet	grupo	alternativoj	prononco
level	hodiaŭ mia patrino estis ~	hoy mi madre estaba ~	today my mother was ~	grupo	alternativoj	prononco
level	mi venis el ~	Yo vine de ~	I came from ~	grupo	alternativoj	prononco
level	el la lernejo	fuera de la escuela	out of the school	grupo	alternativoj	prononco
level	raportis al ~	reportado a ~	reported to ~	grupo	alternativoj	prononco
level	kaj raportis al ŝi	y le informó	and reported to her	grupo	alternativoj	prononco
level	raportis, ke ~	informó que ~	reported that ~	grupo	alternativoj	prononco
level	raportis, ke mi ricevos	informó que recibiré	reported that I will receive	grupo	alternativoj	prononco
level	mi ricevos malbonan noton	sacaré una mala nota	I will get a bad grade	grupo	alternativoj	prononco
level	ŝi diris, ke ~	ella dijo eso ~	she said that ~	grupo	alternativoj	prononco
level	vi devas laborigi ~	tienes que hacer que ~ funcione	you have to make ~ work	grupo	alternativoj	prononco
level	pli multe	más	more	grupo	alternativoj	prononco
level	pli multe laborigi	para hacer que el trabajo sea más	to make work more	grupo	alternativoj	prononco
level	laborigi vian kapon	para hacer que tu cabeza funcione	to make your head work	grupo	alternativoj	prononco
level	kiom da malbonaj notoj	cuantas malas notas	how many bad grades	grupo	alternativoj	prononco
level	vi havas tiom da malbonaj notoj	tienes tantas malas notas	you have so many bad grades	grupo	alternativoj	prononco
level	estis malĝoja	estaba triste	was sad	grupo	alternativoj	prononco
level	en vian ĉambron	en tu habitación	into your room	grupo	alternativoj	prononco
level	iru en vian ĉambron	entra a tu habitación	go into your room	grupo	alternativoj	prononco
level	iru kaj lernu	ve y aprende	go and learn	grupo	alternativoj	prononco
level	mi sidis	Me senté	I sat	grupo	alternativoj	prononco
level	en mia ĉambro	En mi cuarto	in my room	grupo	alternativoj	prononco
level	sidis en mia ĉambro	me senté en mi habitación	sat in my room	grupo	alternativoj	prononco
level	nek lerni nek legi	ni aprender ni leer	neither learn nor read	grupo	alternativoj	prononco
level	sed mi povis nek lerni nek legi	pero no pude aprender ni leer	but I could neither learn nor read	grupo	alternativoj	prononco
level	miaj pensoj	mis pensamientos	my thoughts	grupo	alternativoj	prononco
level	ĉe ludo	en un juego	at a game	grupo	alternativoj	prononco
level	ludo kun miaj amikoj	juego con mis amigos	game with my friends	grupo	alternativoj	prononco
level	ĉe sporto	en el deporte	at sport	grupo	alternativoj	prononco
level	al mi mem	a mí mismo	to myself	grupo	alternativoj	prononco
level	diris al mi mem	me dije a mi mismo	said to myself	grupo	alternativoj	prononco
level	tiom malsaĝa	tan estupido	so stupid	grupo	alternativoj	prononco
level	ĉu mi estas tiom malsaĝa?	¿Soy tan estúpido?	am I that stupid?	grupo	alternativoj	prononco
level	kvankam mi lernis multe	aunque aprendí mucho	although I learned a lot	grupo	alternativoj	prononco
level	la patrino eniris	la madre entro	the mother entered	grupo	alternativoj	prononco
level	miaj vortoj	mis palabras	my words	grupo	alternativoj	prononco
level	kaj aŭdis miajn vortojn	y escuché mis palabras	and heard my words	grupo	alternativoj	prononco
level	ŝi tuj respondis	ella respondió inmediatamente	she answered immediately	grupo	alternativoj	prononco
level	ne, mia kara	no mi querido	no, my dear	grupo	alternativoj	prononco
level	vi ne estas malsaĝa	no eres estúpido	you are not stupid	grupo	alternativoj	prononco
level	la problemo estas, ke ~	el problema es que ~	the problem is that ~	grupo	alternativoj	prononco
level	ke vi devas lerni	que debes aprender	that you must learn	grupo	alternativoj	prononco
level	devas lerni multe pli	debe aprender mucho más	must learn much more	grupo	alternativoj	prononco
level	tiam vi ne havos	entonces no tendrás	then you will not have	grupo	alternativoj	prononco
level	malbonaj notoj	malas notas	bad grades	grupo	alternativoj	prononco
level	havos nur malbonajn notojn	solo tendré malas notas	will have only bad grades	grupo	alternativoj	prononco
level	ankaŭ nun	también ahora	also now	grupo	alternativoj	prononco
level	mi ne havas ilin	no los tengo	I don't have them	grupo	alternativoj	prononco
level	mi havas bonan noton	tengo una buena nota	I have a good grade	grupo	alternativoj	prononco
level	pri muziko	acerca de la música	about music	grupo	alternativoj	prononco
level	bonan noton pri muziko	una buena nota sobre la música	a good note on music	grupo	alternativoj	prononco
level	la patrino subite ekridis	la madre de repente se echó a reír	the mother suddenly burst out laughing	grupo	alternativoj	prononco
level	tio plibeligis ~	que embellecido ~	that beautified ~	grupo	alternativoj	prononco
level	mian tagon	mi día	my day	grupo	alternativoj	prononco
level	plibeligis mian tagon	me alegró el día	made my day	grupo	alternativoj	prononco
level	sed tamen restis	pero aun así permaneció	but still remained	grupo	alternativoj	prononco
level	sed la problemo tamen restis	pero el problema aun persistia	but the problem still remained	grupo	alternativoj	prononco
level	kilogramo da ~	un kilogramo de ~	a kilogram of ~	grupo	alternativoj	prononco
level	kilogramo da sukero	un kilogramo de azúcar	a kilogram of sugar	grupo	alternativoj	prononco
level	glaso da ~	un vaso de ~	a glass of ~	grupo	alternativoj	prononco
level	glaso da akvo	un vaso de agua	a glass of water	grupo	alternativoj	prononco
level	multe da ~	mucho ~	a lot of ~	grupo	alternativoj	prononco
level	multe da ideoj	Muchas ideas	lots of ideas	grupo	alternativoj	prononco
level	deteni sin	retener	to hold back	grupo	alternativoj	prononco
level	ordigis ĉion	solucionó todo	sorted everything out	grupo	alternativoj	prononco
level	transdonis al li	entregado a él	handed over to him	grupo	alternativoj	prononco
level	mi petas	estoy preguntando	I'm asking	grupo	alternativoj	prononco
level	glason da kafo	un vaso de cafe	a glass of coffee	grupo	alternativoj	prononco
level	kaj iom da akvo	y un poco de agua	and some water	grupo	alternativoj	prononco
level	mi petas glason da kafo	quisiera un vaso de cafe	I would like a glass of coffee	grupo	alternativoj	prononco
level	mi petas tason da teo	Me gustaría una taza de té	I would like a cup of tea	grupo	alternativoj	prononco
level	doloris lin	hierelo	hurt him	grupo	alternativoj	prononco
level	la kapo doloris lin	le dolía la cabeza	his head hurt	grupo	alternativoj	prononco
level	li malsaniĝis	el cayó enfermo	he fell ill	grupo	alternativoj	prononco
level	ŝatas esti bela	le gusta ser hermosa	likes to be beautiful	grupo	alternativoj	prononco
level	ŝi beligis sian vizaĝon	ella embelleció su rostro	she beautified her face	grupo	alternativoj	prononco
level	la knabo ŝatas esti bela	al chico le gusta ser bonito	the boy likes to be pretty	grupo	alternativoj	prononco
level	pro tio ŝi beligis ĝin	por eso lo embelleció	therefore she beautified it	grupo	alternativoj	prononco
level	post la tagmanĝo	después del almuerzo	after lunch	grupo	alternativoj	prononco
level	purigi la kuirejon	para limpiar la cocina	to clean the kitchen	grupo	alternativoj	prononco
level	kiu purigos la kuirejon?	¿Quién limpiará la cocina?	who will clean the kitchen?	grupo	alternativoj	prononco
level	volas trinki	quiere beber	wants to drink	grupo	alternativoj	prononco
level	kion vi volas trinki?	qué quieres beber	what do you want to drink	grupo	alternativoj	prononco
level	trinki teon	tomar té	to drink tea	grupo	alternativoj	prononco
level	iom da akvo	un poco de agua	a little of water	grupo	alternativoj	prononco
level	ĉu vi volas nenion?	¿no quieres nada?	do you want nothing?	grupo	alternativoj	prononco
level	tiel subite	tan de repente	so suddenly	grupo	alternativoj	prononco
level	kial vi decidis ~ ?	¿Por qué decidiste ~?	why did you decide ~ ?	grupo	alternativoj	prononco
level	kial vi tiel subite decidis ~ ?	¿Por qué decidiste ~ tan de repente?	why did you decide ~ so suddenly?	grupo	alternativoj	prononco
level	via ĉambro	tu cuarto	your room	grupo	alternativoj	prononco
level	via ĉambreto	tu pequeña habitación	your little room	grupo	alternativoj	prononco
level	vian ĉambreton	a tu pequeña habitación	to your little room	grupo	alternativoj	prononco
level	renovigi vian ĉambreton	para renovar tu pequeña habitación	to renovate your little room	grupo	alternativoj	prononco
level	decidis renovigi vian ĉambreton	Decidiste renovar tu pequeña habitación.	decided to renovate your little room	grupo	alternativoj	prononco
level	al kiu	A quien	to whom	grupo	alternativoj	prononco
level	vi donis ~	tu diste ~	you gave ~	grupo	alternativoj	prononco
level	al kiu vi donis ~ ?	¿A quién le diste ~?	to whom did you give ~ ?	grupo	alternativoj	prononco
level	puraj glasoj	vasos limpios	clean glasses	grupo	alternativoj	prononco
level	vi donis la purajn glasojn	diste los vasos limpios	you gave the clean glasses	grupo	alternativoj	prononco
level	la puraj glasoj por la vino	las copas limpias para el vino	the clean glasses for the wine	grupo	alternativoj	prononco
level	kontraŭ kiu	Contra quién	against whom	grupo	alternativoj	prononco
level	via sportklubo	tu club deportivo	your sports club	grupo	alternativoj	prononco
level	ludas kontraŭ ~	juega en contra ~	plays against ~	grupo	alternativoj	prononco
level	antaŭ du semajnoj	hace dos semanas	two weeks ago	grupo	alternativoj	prononco
level	kontraŭ kiu via sportklubo ludis?	¿Contra quién jugó tu club deportivo?	who did your sports club play against?	grupo	alternativoj	prononco
level	ĉu vi vidas ~ ?	¿ves ~?	do you see ~ ?	grupo	alternativoj	prononco
level	ĉu vi ofte vidas ~ ?	¿Ves a menudo ~?	do you often see ~ ?	grupo	alternativoj	prononco
level	ofte vidas la policiston	A menudo veo al policía.	often see the policeman	grupo	alternativoj	prononco
level	tiu, kiu loĝas en ~	el que vive en ~	the one who lives in ~	grupo	alternativoj	prononco
level	loĝas en la loĝejo	vive en el lugar de hospedaje	lives in the lodging place	grupo	alternativoj	prononco
level	la loĝejo super vi	la morada encima de ti	the dwelling place above you	grupo	alternativoj	prononco
level	vidas la policiston, kiu loĝas en ~	ve al oficial de policía que vive en ~	sees the police officer who lives in ~	grupo	alternativoj	prononco
level	plano pri veturado	plan de conducción	driving plan	grupo	alternativoj	prononco
level	volis vojaĝi	quería viajar	wanted to travel	grupo	alternativoj	prononco
level	vojaĝi al alia lando	viajar a otro pais	to travel to another country	grupo	alternativoj	prononco
level	en libertempo	en el tiempo libre	in free time	grupo	alternativoj	prononco
level	ili decidis iri	decidieron ir	they decided to go	grupo	alternativoj	prononco
level	decidis iri al Italio	decidió ir a Italia	decided to go to Italy	grupo	alternativoj	prononco
level	malnovaj urboj	ciudades antiguas	old cities	grupo	alternativoj	prononco
level	lando kun malnovaj urboj	un país con ciudades antiguas	a country with old cities	grupo	alternativoj	prononco
level	aliaj belaĵoj	otras bellezas	other beauties	grupo	alternativoj	prononco
level	kaj aliaj belaĵoj	y otras bellezas	and other beauties	grupo	alternativoj	prononco
level	bela lando kun malnovaj urboj kaj aliaj belaĵoj	un hermoso país con ciudades antiguas y otras bellezas	a beautiful country with old cities and other beauties	grupo	alternativoj	prononco
level	ili estis feliĉaj	ellos eran felices	they were happy	grupo	alternativoj	prononco
level	kie estas ~ ?	¿dónde está ~?	where is ~ ?	grupo	alternativoj	prononco
level	kie estas mia vestaĵo?	Donde esta mi ropa	where are my clothes	grupo	alternativoj	prononco
level	ŝi demandis ~	ella preguntó ~	she asked ~	grupo	alternativoj	prononco
level	ni ne forgesu kunporti ~	no olvidemos traer ~	let's not forget to bring ~	grupo	alternativoj	prononco
level	kunporti la libron	para llevar el libro contigo	to take the book with you	grupo	alternativoj	prononco
level	libro por lerni Esperanton	un libro para aprender esperanto	a book to learn Esperanto	grupo	alternativoj	prononco
level	kunporti libron por lerni	llevar un libro para aprender	to carry a book to learn	grupo	alternativoj	prononco
level	ni povas komenci ~	podemos empezar ~	we can start ~	grupo	alternativoj	prononco
level	en la vagonaro	en el tren	in the train	grupo	alternativoj	prononco
level	jam en la vagonaro	ya en el tren	already in the train	grupo	alternativoj	prononco
level	ni nenion faros	no haremos nada	we won't do anything	grupo	alternativoj	prononco
level	per aŭto	en coche	by car	grupo	alternativoj	prononco
level	ni veturos per ~	pasaremos por ~	we will drive by ~	grupo	alternativoj	prononco
level	veturos per aŭto	conducirá un coche	will drive a car	grupo	alternativoj	prononco
level	mi havas sekreton	tengo un secreto	I have a secret	grupo	alternativoj	prononco
level	mia riĉa onklo	mi tio rico	my rich uncle	grupo	alternativoj	prononco
level	mia deziro	mi deseo	my wish	grupo	alternativoj	prononco
level	plenumis mian deziron	cumplió mi deseo	fulfilled my wish	grupo	alternativoj	prononco
level	donis al ni	nos dio	gave us	grupo	alternativoj	prononco
level	sian aŭton	su coche	his car	grupo	alternativoj	prononco
level	kaj donis al ni sian aŭton	y nos dio su auto	and gave us his car	grupo	alternativoj	prononco
level	por uzo	para usar	for use	grupo	alternativoj	prononco
level	ĝi staras antaŭ ~	está delante ~	it stands before ~	grupo	alternativoj	prononco
level	staras antaŭ la domo	se encuentra frente a la casa	stands in front of the house	grupo	alternativoj	prononco
level	mi devas diri ~	tengo que decir ~	I have to say ~	grupo	alternativoj	prononco
level	nenion diru	no digas nada	don't say anything	grupo	alternativoj	prononco
level	ni eksidu	sentémonos	let's sit down	grupo	alternativoj	prononco
level	eksidu en la aŭton	entrar en el coche	get in the car	grupo	alternativoj	prononco
level	veturi al ~	conducir hasta ~	to drive to ~	grupo	alternativoj	prononco
level	kaj veturu al Italio	y conducir a Italia	and drive to Italy	grupo	alternativoj	prononco
level	sidis en la aŭto	sentado en el auto	sat in the car	grupo	alternativoj	prononco
level	ankaŭ la vestaĵoj	también la ropa	also the clothes	grupo	alternativoj	prononco
level	~ estis en la aŭto	~ estaba en el auto	~ was in the car	grupo	alternativoj	prononco
level	ankoraŭ sidadis kaj atendis	todavía se sentó y esperó	still sat and waited	grupo	alternativoj	prononco
level	sed li atendis	pero esperó	but he waited	grupo	alternativoj	prononco
level	kial ni ne ~ ?	¿Por qué no lo hacemos ~?	why don't we ~ ?	grupo	alternativoj	prononco
level	kial ni ne ekveturas?	¿Por qué no empezamos a conducir?	why don't we start driving?	grupo	alternativoj	prononco
level	ankaŭ mi havas ~	Yo también tengo ~	I have ~ too	grupo	alternativoj	prononco
level	veturigus la aŭton	conduciría el coche	would drive the car	grupo	alternativoj	prononco
level	sed mi ne scias ~	pero no lo sé ~	but I don't know ~	grupo	alternativoj	prononco
level	mi neniam lernis tion	nunca aprendí eso	I never learned that	grupo	alternativoj	prononco
level	mi kredus ~	Yo creería ~	I would believe ~	grupo	alternativoj	prononco
level	se mi estus sana	si estuviera sano	if I were healthy	grupo	alternativoj	prononco
level	mi estus tre feliĉa	Yo seria muy feliz	I would be very happy	grupo	alternativoj	prononco
level	kvazaŭ vi estus riĉulo	como si fueras rico	as if you were rich	grupo	alternativoj	prononco
level	vi sidas tie kvazaŭ vi estus riĉulo	Te sientas ahí como si fueras un hombre rico.	you sit there as if you were a rich man	grupo	alternativoj	prononco
level	kvazaŭa lernejo	supuesta escuela	alleged school	grupo	alternativoj	prononco
level	kvazaŭ riĉulo	como un hombre rico	like a rich man	grupo	alternativoj	prononco
level	vi sidas tie kvazaŭ riĉulo	te sientas ahí como un hombre rico	you sit there like a rich man	grupo	alternativoj	prononco
level	tiom da mono	mucho dinero	so much money	grupo	alternativoj	prononco
level	tiom da mono kiom da ideoj	tanto dinero como ideas	as much money as ideas	grupo	alternativoj	prononco
level	se mi havus tiom da mono	si tuviera tanto dinero	if I had that much money	grupo	alternativoj	prononco
level	mi vojaĝadus	viajaría	I would travel	grupo	alternativoj	prononco
level	ĉirkaŭ la mondo	alrededor del mundo	around the world	grupo	alternativoj	prononco
level	en ĉiu vortaro	en cada diccionario	in every dictionary	grupo	alternativoj	prononco
level	mankas io	Algo falta	something is missing	grupo	alternativoj	prononco
level	mankas kelkaj vortoj	faltan algunas palabras	some words are missing	grupo	alternativoj	prononco
level	homo, kiu longe parolis	un hombre que habló largamente	a man who spoke at length	grupo	alternativoj	prononco
level	ĉe la manĝotablo	en la mesa del comedor	at the dining table	grupo	alternativoj	prononco
level	homo, kiu rakontas, restos malsata	una persona que cuenta se quedará con hambre	a person who tells will remain hungry	grupo	alternativoj	prononco
level	rakontadas ĉe la manĝo tablo	sigue contando en la mesa del comedor	keeps telling at the dining table	grupo	alternativoj	prononco
level	li devis atenti ~	tenía que prestarle atención ~	he had to pay attention to ~	grupo	alternativoj	prononco
level	ne rajtis ~	no se le permitió ~	was not allowed to ~	grupo	alternativoj	prononco
level	rajtis resti	se le permitió quedarse	was allowed to stay	grupo	alternativoj	prononco
level	ne rajtis longe resti	no se le permitió quedarse mucho tiempo	was not allowed to stay long	grupo	alternativoj	prononco
level	resti ekstere en pluvo	permanecer bajo la lluvia	to stay out in the rain	grupo	alternativoj	prononco
level	tial li malvarmumis	por eso se resfrió	that's why he caught a cold	grupo	alternativoj	prononco
level	li havas sian klaran ideon	él tiene su propia idea clara	he has his own clear idea	grupo	alternativoj	prononco
level	sed li kredos ĉion	pero el creerá todo	but he will believe everything	grupo	alternativoj	prononco
level	ĉion, kion vi diros	lo que digas	whatever you say	grupo	alternativoj	prononco
level	kvazaŭ vi estus lia edzino	como si fueras su esposa	as if you were his wife	grupo	alternativoj	prononco
level	viaj gepatroj	tus padres	your parents	grupo	alternativoj	prononco
level	ĝojigi viajn gepatrojn	para hacer felices a tus padres	to make your parents happy	grupo	alternativoj	prononco
level	kio povus ĝojigi ~ ?	¿Qué podría complacer ~?	what could please ~ ?	grupo	alternativoj	prononco
level	kio povus plej ĝojigi viajn gepatrojn?	¿Qué podría hacer más felices a tus padres?	what could make your parents the most happy?	grupo	alternativoj	prononco
level	post la lernado	después del aprendizaje	after the learning	grupo	alternativoj	prononco
level	almenaŭ post la lernado	al menos después del aprendizaje	at least after the learning	grupo	alternativoj	prononco
level	en la urbocentron	al centro de la ciudad	into the city center	grupo	alternativoj	prononco
level	se vi irus kun mi	si tu fueras conmigo	if you would go with me	grupo	alternativoj	prononco
level	se vi irus kun mi en la urbocentron	si pudieras ir al centro conmigo	if you would go downtown with me	grupo	alternativoj	prononco
level	kien vi dezirus vojaĝi?	¿A dónde te gustaría viajar?	where would you like to travel?	grupo	alternativoj	prononco
level	se vi havus ~	si tuvieras ~	if you had ~	grupo	alternativoj	prononco
level	sufiĉe da mono	suficiente dinero	enough money	grupo	alternativoj	prononco
level	se vi havus sufiĉe da mono kaj tempo	si tuvieras suficiente dinero y temperatura	if you had enough money and temp	grupo	alternativoj	prononco
level	ĉu vi planas ~ ?	¿Estás planeando ~?	are you planning to ~ ?	grupo	alternativoj	prononco
level	planas veturi al Parizo	planea viajar a París	plans to travel to Paris	grupo	alternativoj	prononco
level	veturi per aŭto	conducir con un axuto	to drive with an axuto	grupo	alternativoj	prononco
level	multe pli bone	mucho mejor	much better	grupo	alternativoj	prononco
level	ŝajnas multe pli bone	parece mucho mejor	seems much better	grupo	alternativoj	prononco
level	per vagonaro	en tren	by train	grupo	alternativoj	prononco
level	aŭ ĉu ne ŝajnas esti multe pli bone?	¿O no parece mucho mejor?	or doesn't it seem to be much better?	grupo	alternativoj	prononco
